t	v
0	-59.9512
0.1	-59.9512
0.2	-59.9512
0.3	-59.9512
0.4	-59.9512
0.5	-59.9512
0.6	-59.9512
0.7	-59.9512
0.8	-59.9512
0.9	-59.9512
1	-59.9512
1.1	-59.9512
1.2	-59.9512
1.3	-59.9512
1.4	-59.9512
1.5	-59.9512
1.6	-59.9512
1.7	-59.9512
1.8	-59.9512
1.9	-59.9512
2	-59.9512
2.1	-59.9512
2.2	-59.9512
2.3	-59.9512
2.4	-59.9512
2.5	-59.9512
2.6	-59.9512
2.7	-59.9512
2.8	-59.9512
2.9	-59.9512
3	-59.9512
3.1	-59.9512
3.2	-59.9512
3.3	-59.9512
3.4	-59.9512
3.5	-59.9512
3.6	-59.9512
3.7	-59.9512
3.8	-59.9512
3.9	-59.9512
4	-59.9512
4.1	-59.9512
4.2	-59.9512
4.3	-59.9512
4.4	-59.9512
4.5	-59.9512
4.6	-59.9512
4.7	-59.9512
4.8	-59.9512
4.9	-59.9512
5	-59.9512
5.1	-59.9512
5.2	-59.9512
5.3	-59.9512
5.4	-59.9512
5.5	-59.9512
5.6	-59.9512
5.7	-59.9512
5.8	-59.9512
5.9	-59.9512
6	-59.9512
6.1	-59.9512
6.2	-59.9512
6.3	-59.9512
6.4	-59.9512
6.5	-59.9512
6.6	-59.9512
6.7	-59.9512
6.8	-59.9512
6.9	-59.9512
7	-59.9512
7.1	-59.9512
7.2	-59.9512
7.3	-59.9512
7.4	-59.9512
7.5	-59.9512
7.6	-59.9512
7.7	-59.9512
7.8	-59.9512
7.9	-59.9512
8	-59.9512
8.1	-59.9512
8.2	-59.5957
8.3	-58.8526
8.4	-57.8511
8.5	-56.593
8.6	-55.1602
8.7	-53.5668
8.8	-51.8696
8.9	-50.0833
9	-48.2485
9.1	-46.3775
9.2	-44.4991
9.3	-42.6224
9.4	-40.7664
9.5	-38.9355
9.6	-37.1382
9.7	-35.3679
9.8	-33.612
9.9	-31.8327
10	-29.959
10.1	-27.8385
10.2	-25.1191
10.3	-20.7797
10.4	-10.504
10.5	31.0509
10.6	66.8479
10.7	38.7693
10.8	55.5814
10.9	29.6746
11	39.3953
11.1	15.8342
11.2	20.914
11.3	1.00114
11.4	-1.51791
11.5	-19.2677
11.6	-29.711
11.7	-43.4944
11.8	-44.0882
11.9	-50.2449
12	-47.3844
12.1	-50.9879
12.2	-47.328
12.3	-49.7378
12.4	-46.0012
12.5	-47.7395
12.6	-44.1557
12.7	-45.4562
12.8	-42.1008
12.9	-43.0752
13	-39.9604
13.1	-40.6937
13.2	-37.8259
13.3	-38.3755
13.4	-35.7411
13.5	-36.1387
13.6	-33.7333
13.7	-34.0328
13.8	-31.8527
13.9	-32.0614
14	-30.0793
14.1	-30.1869
14.2	-28.3661
14.3	-28.3423
14.4	-26.6318
14.5	-26.4214
14.6	-24.7391
14.7	-24.2327
14.8	-22.4133
14.9	-21.3459
15	-18.9325
15.1	-16.4202
15.2	-11.51
15.3	-2.95415
15.4	14.4653
15.5	30.355
15.6	25.5889
15.7	19.0062
15.8	7.77105
15.9	-0.900566
16	-12.3434
16.1	-22.5785
16.2	-32.3043
16.3	-37.5072
16.4	-41.6699
16.5	-43.2955
16.6	-45.0696
16.7	-45.309
16.8	-46.0055
16.9	-45.6218
17	-45.7522
17.1	-45.0638
17.2	-44.8723
17.3	-44.0357
17.4	-43.6595
17.5	-42.764
17.6	-42.2819
17.7	-41.374
17.8	-40.835
17.9	-39.9435
18	-39.3797
18.1	-38.5213
18.2	-37.9539
18.3	-37.1447
18.4	-36.601
18.5	-35.8528
18.6	-35.3372
18.7	-34.6459
18.8	-34.1581
18.9	-33.5182
19	-33.0554
19.1	-32.46
19.2	-32.0174
19.3	-31.4583
19.4	-31.0294
19.5	-30.497
19.6	-30.0738
19.7	-29.5573
19.8	-29.1299
19.9	-28.6165
