t	v
0	-70.6341
0.1	-70.6337
0.2	-70.6334
0.3	-70.6331
0.4	-70.6328
0.5	-70.6324
0.6	-70.6321
0.7	-70.6318
0.8	-70.6315
0.9	-70.6312
1	-70.6308
1.1	-70.6305
1.2	-70.6302
1.3	-70.6299
1.4	-70.6296
1.5	-70.6292
1.6	-70.6289
1.7	-70.6286
1.8	-70.6283
1.9	-70.628
2	-70.6276
2.1	-70.6273
2.2	-70.627
2.3	-70.6267
2.4	-70.6264
2.5	-70.626
2.6	-70.6257
2.7	-70.6254
2.8	-70.6251
2.9	-70.6248
3	-70.6245
3.1	-70.6242
3.2	-70.6238
3.3	-70.6235
3.4	-70.6232
3.5	-70.6229
3.6	-70.6226
3.7	-70.6223
3.8	-70.622
3.9	-70.6216
4	-70.6213
4.1	-70.621
4.2	-70.6207
4.3	-70.6204
4.4	-70.6201
4.5	-70.6198
4.6	-70.6195
4.7	-70.6192
4.8	-70.6188
4.9	-70.6185
5	-70.6182
5.1	-70.6179
5.2	-70.6176
5.3	-70.6173
5.4	-70.617
5.5	-70.6167
5.6	-70.6164
5.7	-70.6161
5.8	-70.6158
5.9	-70.6155
6	-70.6152
6.1	-70.6149
6.2	-70.6145
6.3	-70.6142
6.4	-70.6139
6.5	-70.6136
6.6	-70.6133
6.7	-70.613
6.8	-70.6127
6.9	-70.6124
7	-70.6121
7.1	-70.6118
7.2	-70.6115
7.3	-70.6112
7.4	-70.6109
7.5	-70.6106
7.6	-70.6103
7.7	-70.61
7.8	-70.6097
7.9	-70.6094
8	-70.6091
8.1	-70.6088
8.2	-69.9398
8.3	-67.9191
8.4	-64.7346
8.5	-60.6555
8.6	-55.9685
8.7	-50.9241
8.8	-45.5769
8.9	-39.5876
9	-31.5958
9.1	-17.7922
9.2	6.20258
9.3	22.0733
9.4	27.1722
9.5	27.5518
9.6	26.0424
9.7	23.3308
9.8	20.2159
9.9	16.7907
10	13.4325
10.1	10.1351
10.2	7.09454
10.3	4.26868
10.4	1.75187
10.5	-0.512255
10.6	-2.48581
10.7	-4.22544
10.8	-5.72145
10.9	-7.02315
11	-8.13319
11.1	-9.09128
11.2	-9.90425
11.3	-10.6025
11.4	-11.1939
11.5	-11.7008
11.6	-12.1303
11.7	-12.499
11.8	-12.8128
11.9	-13.0835
12	-13.3159
12.1	-13.5185
12.2	-13.6947
12.3	-13.8506
12.4	-14.4456
12.5	-15.2127
12.6	-15.9845
12.7	-16.7378
12.8	-17.4042
12.9	-17.987
13	-18.4651
13.1	-19.2594
13.2	-19.8939
13.3	-20.4928
13.4	-20.9213
13.5	-21.2763
13.6	-21.5089
13.7	-21.6931
13.8	-21.7971
13.9	-21.8655
14	-21.8817
14.1	-21.8754
14.2	-21.8371
14.3	-21.7865
14.4	-21.718
14.5	-21.6444
14.6	-21.5624
14.7	-21.4802
14.8	-21.3957
14.9	-21.3141
15	-21.234
15.1	-21.1588
15.2	-21.0873
15.3	-21.0215
15.4	-20.9607
15.5	-20.906
15.6	-20.8567
15.7	-20.8133
15.8	-20.7753
15.9	-20.7429
16	-20.7156
16.1	-20.6933
16.2	-20.6756
16.3	-20.6625
16.4	-20.6536
16.5	-20.6486
16.6	-20.6473
16.7	-20.6495
16.8	-20.6549
16.9	-20.6634
17	-20.6746
17.1	-20.6885
17.2	-20.7048
17.3	-20.9151
17.4	-21.2951
17.5	-21.6775
17.6	-22.0425
17.7	-22.3575
17.8	-22.6259
17.9	-22.8409
18	-23.0108
18.1	-23.1368
18.2	-23.2274
18.3	-23.2906
18.4	-23.3397
18.5	-23.3768
18.6	-23.4048
18.7	-23.4245
18.8	-23.4377
18.9	-23.4454
19	-23.4488
19.1	-23.4487
19.2	-23.4462
19.3	-23.4418
19.4	-23.4363
19.5	-23.4302
19.6	-23.4239
19.7	-23.4179
19.8	-23.4126
19.9	-23.408
