t	v
0	-63.0102
0.1	-63.0102
0.2	-63.0102
0.3	-63.0102
0.4	-63.0102
0.5	-63.0102
0.6	-63.0102
0.7	-63.0102
0.8	-63.0102
0.9	-63.0102
1	-63.0102
1.1	-63.0102
1.2	-63.0102
1.3	-63.0102
1.4	-63.0102
1.5	-63.0102
1.6	-63.0102
1.7	-63.0102
1.8	-63.0102
1.9	-63.0102
2	-63.0102
2.1	-63.0102
2.2	-63.0102
2.3	-63.0102
2.4	-63.0102
2.5	-63.0102
2.6	-63.0102
2.7	-63.0102
2.8	-63.0102
2.9	-63.0102
3	-63.0102
3.1	-63.0102
3.2	-63.0102
3.3	-63.0102
3.4	-63.0102
3.5	-63.0102
3.6	-63.0102
3.7	-63.0102
3.8	-63.0102
3.9	-63.0102
4	-63.0102
4.1	-63.0102
4.2	-63.0102
4.3	-63.0102
4.4	-63.0102
4.5	-63.0102
4.6	-63.0102
4.7	-63.0102
4.8	-63.0102
4.9	-63.0102
5	-63.0102
5.1	-63.0102
5.2	-63.0102
5.3	-63.0102
5.4	-63.0102
5.5	-63.0102
5.6	-63.0102
5.7	-63.0102
5.8	-63.0102
5.9	-63.0102
6	-63.0102
6.1	-63.0102
6.2	-63.0102
6.3	-63.0102
6.4	-63.0102
6.5	-63.0102
6.6	-63.0102
6.7	-63.0102
6.8	-63.0102
6.9	-63.0102
7	-63.0102
7.1	-63.0102
7.2	-63.0102
7.3	-63.0102
7.4	-63.0102
7.5	-63.0102
7.6	-63.0102
7.7	-63.0102
7.8	-63.0102
7.9	-63.0102
8	-63.0102
8.1	-63.0102
8.2	-62.9265
8.3	-62.6205
8.4	-62.0312
8.5	-61.1541
8.6	-60.0226
8.7	-58.6879
8.8	-57.2032
8.9	-55.6213
9	-53.9858
9.1	-52.3326
9.2	-50.6839
9.3	-49.0447
9.4	-47.3866
9.5	-45.6253
9.6	-43.5952
9.7	-41.0527
9.8	-37.679
9.9	-32.9671
10	-26.0269
10.1	-15.3409
10.2	4.29037
10.3	34.9196
10.4	40.806
10.5	42.5505
10.6	40.1381
10.7	38.2412
10.8	34.315
10.9	30.6123
11	26.0275
11.1	21.5799
11.2	16.6655
11.3	11.8666
11.4	6.82605
11.5	1.92236
11.6	-3.05009
11.7	-7.74524
11.8	-12.3765
11.9	-16.7695
12	-21.1045
12.1	-25.1874
12.2	-29.0939
12.3	-32.5943
12.4	-35.9567
12.5	-38.8299
12.6	-41.2676
12.7	-43.1371
12.8	-44.6423
12.9	-45.7406
13	-46.6265
13.1	-47.5304
13.2	-48.3502
13.3	-49.0667
13.4	-49.5692
13.5	-49.5618
13.6	-49.0056
13.7	-48.2049
13.8	-47.4501
13.9	-46.7349
14	-46.1244
14.1	-45.5943
14.2	-45.1797
14.3	-44.8409
14.4	-44.6024
14.5	-44.4227
14.6	-44.3281
14.7	-44.2781
14.8	-44.2968
14.9	-44.344
15	-44.4409
15.1	-44.549
15.2	-44.6881
15.3	-44.8234
15.4	-44.9748
15.5	-45.1121
15.6	-45.2559
15.7	-45.3805
15.8	-45.5069
15.9	-45.6129
16	-45.7193
16.1	-45.8066
16.2	-45.8946
16.3	-45.9659
16.4	-46.0392
16.5	-46.0983
16.6	-46.1607
16.7	-46.2113
16.8	-46.2662
16.9	-46.3115
17	-46.362
17.1	-46.4045
17.2	-46.4526
17.3	-46.5029
17.4	-46.6956
17.5	-47.0597
17.6	-47.4762
17.7	-47.9212
17.8	-48.3378
17.9	-48.7169
18	-49.052
18.1	-49.3414
18.2	-49.5959
18.3	-49.8139
18.4	-50.0088
18.5	-50.1774
18.6	-50.3332
18.7	-50.4707
18.8	-50.6017
18.9	-50.7192
19	-50.8338
19.1	-50.9378
19.2	-51.0412
19.3	-51.1359
19.4	-51.2313
19.5	-51.3193
19.6	-51.4089
19.7	-51.4921
19.8	-51.5775
19.9	-51.6573
