t	v
0	-63.0102
0.1	-63.0102
0.2	-63.0102
0.3	-63.0102
0.4	-63.0102
0.5	-63.0102
0.6	-63.0102
0.7	-63.0102
0.8	-63.0102
0.9	-63.0102
1	-63.0102
1.1	-63.0102
1.2	-63.0102
1.3	-63.0102
1.4	-63.0102
1.5	-63.0102
1.6	-63.0102
1.7	-63.0102
1.8	-63.0102
1.9	-63.0102
2	-63.0102
2.1	-63.0102
2.2	-63.0102
2.3	-63.0102
2.4	-63.0102
2.5	-63.0102
2.6	-63.0102
2.7	-63.0102
2.8	-63.0102
2.9	-63.0102
3	-63.0102
3.1	-63.0102
3.2	-63.0102
3.3	-63.0102
3.4	-63.0102
3.5	-63.0102
3.6	-63.0102
3.7	-63.0102
3.8	-63.0102
3.9	-63.0102
4	-63.0102
4.1	-63.0102
4.2	-63.0102
4.3	-63.0102
4.4	-63.0102
4.5	-63.0102
4.6	-63.0102
4.7	-63.0102
4.8	-63.0102
4.9	-63.0102
5	-63.0102
5.1	-63.0102
5.2	-63.0102
5.3	-63.0102
5.4	-63.0102
5.5	-63.0102
5.6	-63.0102
5.7	-63.0102
5.8	-63.0102
5.9	-63.0102
6	-63.0102
6.1	-63.0102
6.2	-63.0102
6.3	-63.0102
6.4	-63.0102
6.5	-63.0102
6.6	-63.0102
6.7	-63.0102
6.8	-63.0102
6.9	-63.0102
7	-63.0102
7.1	-63.0102
7.2	-63.0102
7.3	-63.0102
7.4	-63.0102
7.5	-63.0102
7.6	-63.0102
7.7	-63.0102
7.8	-63.0102
7.9	-63.0102
8	-63.0102
8.1	-63.0102
8.2	-62.9359
8.3	-62.6333
8.4	-62.0158
8.5	-61.0878
8.6	-59.8926
8.7	-58.4907
8.8	-56.9413
8.9	-55.3005
9	-53.6138
9.1	-51.9174
9.2	-50.2341
9.3	-48.5699
9.4	-46.9021
9.5	-45.1544
9.6	-43.159
9.7	-40.6264
9.8	-37.1399
9.9	-32.1306
10	-24.9966
10.1	-14.5099
10.2	5.25746
10.3	35.5363
10.4	40.9512
10.5	42.5522
10.6	40.2203
10.7	38.1943
10.8	34.3247
10.9	30.5502
11	26.0043
11.1	21.512
11.2	16.6187
11.3	11.7923
11.4	6.76586
11.5	1.84732
11.6	-3.11081
11.7	-7.80946
11.8	-12.4253
11.9	-16.8164
12	-21.1364
12.1	-25.2151
12.2	-29.1078
12.3	-32.6044
12.4	-36.158
12.5	-39.1813
12.6	-41.7394
12.7	-43.6563
12.8	-45.1888
12.9	-46.2836
13	-47.1646
13.1	-48.0961
13.2	-48.9128
13.3	-49.6603
13.4	-49.9043
13.5	-49.0932
13.6	-47.7031
13.7	-46.4447
13.8	-45.3762
13.9	-44.4524
14	-43.7035
14.1	-43.0757
14.2	-42.6199
14.3	-42.2833
14.4	-42.0959
14.5	-42.0075
14.6	-42.0293
14.7	-42.1157
14.8	-42.2693
14.9	-42.4519
15	-42.6658
15.1	-42.8813
15.2	-43.1044
15.3	-43.3136
15.4	-43.5185
15.5	-43.7035
15.6	-43.8804
15.7	-44.0374
15.8	-44.1866
15.9	-44.3184
16	-44.4444
16.1	-44.5562
16.2	-44.6644
16.3	-44.7617
16.4	-44.857
16.5	-44.9441
16.6	-45.0305
16.7	-45.1109
16.8	-45.1916
16.9	-45.2678
17	-45.3448
17.1	-45.4188
17.2	-45.4938
17.3	-45.5668
17.4	-45.8836
17.5	-46.2904
17.6	-46.7028
17.7	-47.1406
17.8	-47.5761
17.9	-47.9509
18	-48.2824
18.1	-48.56
18.2	-48.8024
18.3	-49.008
18.4	-49.1908
18.5	-49.3512
18.6	-49.4983
18.7	-49.6316
18.8	-49.7567
18.9	-49.8732
19	-49.9845
19.1	-50.0903
19.2	-50.1925
19.3	-50.2914
19.4	-50.3875
19.5	-50.4816
19.6	-50.5735
19.7	-50.6643
19.8	-50.753
19.9	-50.8412
