t	v
0	-70.6341
0.1	-70.6337
0.2	-70.6334
0.3	-70.6331
0.4	-70.6328
0.5	-70.6324
0.6	-70.6321
0.7	-70.6318
0.8	-70.6315
0.9	-70.6312
1	-70.6308
1.1	-70.6305
1.2	-70.6302
1.3	-70.6299
1.4	-70.6296
1.5	-70.6292
1.6	-70.6289
1.7	-70.6286
1.8	-70.6283
1.9	-70.628
2	-70.6276
2.1	-70.6273
2.2	-70.627
2.3	-70.6267
2.4	-70.6264
2.5	-70.626
2.6	-70.6257
2.7	-70.6254
2.8	-70.6251
2.9	-70.6248
3	-70.6245
3.1	-70.6242
3.2	-70.6238
3.3	-70.6235
3.4	-70.6232
3.5	-70.6229
3.6	-70.6226
3.7	-70.6223
3.8	-70.622
3.9	-70.6216
4	-70.6213
4.1	-70.621
4.2	-70.6207
4.3	-70.6204
4.4	-70.6201
4.5	-70.6198
4.6	-70.6195
4.7	-70.6192
4.8	-70.6188
4.9	-70.6185
5	-70.6182
5.1	-70.6179
5.2	-70.6176
5.3	-70.6173
5.4	-70.617
5.5	-70.6167
5.6	-70.6164
5.7	-70.6161
5.8	-70.6158
5.9	-70.6155
6	-70.6152
6.1	-70.6149
6.2	-70.6145
6.3	-70.6142
6.4	-70.6139
6.5	-70.6136
6.6	-70.6133
6.7	-70.613
6.8	-70.6127
6.9	-70.6124
7	-70.6121
7.1	-70.6118
7.2	-70.6115
7.3	-70.6112
7.4	-70.6109
7.5	-70.6106
7.6	-70.6103
7.7	-70.61
7.8	-70.6097
7.9	-70.6094
8	-70.6091
8.1	-70.6088
8.2	-69.944
8.3	-67.9581
8.4	-64.8162
8.5	-60.7613
8.6	-56.096
8.7	-51.0821
8.8	-45.818
8.9	-39.9986
9	-32.2579
9.1	-18.83
9.2	5.07105
9.3	21.8411
9.4	27.078
9.5	27.636
9.6	26.1226
9.7	23.4632
9.8	20.3255
9.9	16.9158
10	13.5337
10.1	10.238
10.2	7.17696
10.3	4.34787
10.4	1.81508
10.5	-0.453248
10.6	-2.43853
10.7	-4.18188
10.8	-5.68614
10.9	-6.99075
11	-8.1065
11.1	-9.06678
11.2	-9.88379
11.3	-10.5838
11.4	-11.1782
11.5	-11.6865
11.6	-12.1185
11.7	-12.4885
11.8	-12.8044
11.9	-13.0764
12	-13.3106
12.1	-13.5145
12.2	-13.6925
12.3	-13.8498
12.4	-14.4856
12.5	-15.2703
12.6	-16.0694
12.7	-16.8464
12.8	-17.5461
12.9	-18.1585
13	-18.6685
13.1	-19.4867
13.2	-20.1427
13.3	-20.7575
13.4	-21.2003
13.5	-21.5659
13.6	-21.8065
13.7	-21.9947
13.8	-22.1012
13.9	-22.17
14	-22.1854
14.1	-22.3379
14.2	-22.729
14.3	-23.2126
14.4	-23.6717
14.5	-24.0776
14.6	-24.3957
14.7	-24.6339
14.8	-24.7883
14.9	-24.8737
15	-24.8953
15.1	-24.8667
15.2	-24.7947
15.3	-24.6897
15.4	-24.5576
15.5	-24.4064
15.6	-24.2405
15.7	-24.0658
15.8	-23.8856
15.9	-23.7042
16	-23.5241
16.1	-23.3479
16.2	-23.1772
16.3	-23.0137
16.4	-22.8586
16.5	-22.7133
16.6	-22.5779
16.7	-22.453
16.8	-22.3384
16.9	-22.2341
17	-22.1398
17.1	-22.0555
17.2	-21.9807
17.3	-21.9156
17.4	-22.1828
17.5	-22.8923
17.6	-23.7862
17.7	-24.7342
17.8	-25.6424
17.9	-26.4696
18	-27.1927
18.1	-27.8091
18.2	-28.3205
18.3	-28.7357
18.4	-29.0645
18.5	-29.3197
18.6	-29.5121
18.7	-29.651
18.8	-29.7417
18.9	-29.7898
19	-29.7997
19.1	-29.7758
19.2	-29.7212
19.3	-29.6394
19.4	-29.533
19.5	-29.4043
19.6	-29.2557
19.7	-29.089
19.8	-28.9063
19.9	-28.7096
