t	v
0	-65.0127
0.1	-65.0127
0.2	-65.0127
0.3	-65.0127
0.4	-65.0127
0.5	-65.0127
0.6	-65.0127
0.7	-65.0127
0.8	-65.0127
0.9	-65.0127
1	-65.0127
1.1	-65.0127
1.2	-65.0127
1.3	-65.0127
1.4	-65.0127
1.5	-65.0127
1.6	-65.0127
1.7	-65.0127
1.8	-65.0127
1.9	-65.0127
2	-65.0127
2.1	-65.0127
2.2	-65.0127
2.3	-65.0127
2.4	-65.0127
2.5	-65.0127
2.6	-65.0127
2.7	-65.0127
2.8	-65.0127
2.9	-65.0127
3	-65.0127
3.1	-65.0127
3.2	-65.0127
3.3	-65.0127
3.4	-65.0127
3.5	-65.0127
3.6	-65.0127
3.7	-65.0127
3.8	-65.0127
3.9	-65.0127
4	-65.0127
4.1	-65.0127
4.2	-65.0127
4.3	-65.0127
4.4	-65.0127
4.5	-65.0127
4.6	-65.0127
4.7	-65.0127
4.8	-65.0127
4.9	-65.0127
5	-65.0127
5.1	-65.0127
5.2	-65.0127
5.3	-65.0127
5.4	-65.0127
5.5	-65.0127
5.6	-65.0127
5.7	-65.0127
5.8	-65.0127
5.9	-65.0127
6	-65.0127
6.1	-65.0127
6.2	-65.0127
6.3	-65.0127
6.4	-65.0127
6.5	-65.0127
6.6	-65.0127
6.7	-65.0127
6.8	-65.0127
6.9	-65.0127
7	-65.0127
7.1	-65.0127
7.2	-65.0127
7.3	-65.0127
7.4	-65.0127
7.5	-65.0127
7.6	-65.0127
7.7	-65.0127
7.8	-65.0127
7.9	-65.0127
8	-65.0127
8.1	-65.0127
8.2	-64.8856
8.3	-64.5376
8.4	-64.0041
8.5	-63.301
8.6	-62.455
8.7	-61.4888
8.8	-60.4243
8.9	-59.2815
9	-58.0771
9.1	-56.8251
9.2	-55.5346
9.3	-54.2082
9.4	-52.8366
9.5	-51.3884
9.6	-49.7761
9.7	-47.7173
9.8	-43.9734
9.9	-34.0053
10	-8.78947
10.1	43.9386
10.2	51.8944
10.3	50.1882
10.4	35.0643
10.5	30.5386
10.6	14.8374
10.7	8.32364
10.8	-3.09506
10.9	-9.09627
11	-17.2379
11.1	-24.1507
11.2	-33.6779
11.3	-44.4027
11.4	-54.1114
11.5	-59.8581
11.6	-63.0628
11.7	-64.6336
11.8	-65.3955
11.9	-65.5662
12	-65.4362
12.1	-65.0309
12.2	-64.4767
12.3	-63.7702
12.4	-62.9493
12.5	-62.0618
12.6	-61.1455
12.7	-60.2083
12.8	-59.2749
12.9	-58.3433
13	-57.4266
13.1	-56.5239
13.2	-55.6385
13.3	-54.7661
13.4	-53.8792
13.5	-52.9354
13.6	-51.9341
13.7	-50.877
13.8	-49.7396
13.9	-48.443
14	-46.7569
14.1	-44.1536
14.2	-39.5148
14.3	-31.0412
14.4	-16.3048
14.5	10.7058
14.6	37.292
14.7	37.304
14.8	26.0514
14.9	13.7495
15	1.83911
15.1	-7.62915
15.2	-15.9714
15.3	-23.8176
15.4	-32.4488
15.5	-42.1037
15.6	-51.2512
15.7	-57.682
15.8	-61.5059
15.9	-63.7675
16	-65.0173
16.1	-65.6855
16.2	-65.9441
16.3	-65.9553
16.4	-65.7683
16.5	-65.4531
16.6	-65.0306
16.7	-64.5389
16.8	-63.9902
16.9	-63.407
17	-62.7967
17.1	-62.1732
17.2	-61.541
17.3	-60.9086
17.4	-60.2805
17.5	-59.6729
17.6	-59.0924
17.7	-58.5383
17.8	-58.0091
17.9	-57.5031
18	-57.0183
18.1	-56.5532
18.2	-56.1061
18.3	-55.6756
18.4	-55.2606
18.5	-54.8609
18.6	-54.4762
18.7	-54.1059
18.8	-53.7485
18.9	-53.4028
19	-53.0674
19.1	-52.741
19.2	-52.4217
19.3	-52.1079
19.4	-51.7973
19.5	-51.487
19.6	-51.1729
19.7	-50.8485
19.8	-50.5011
19.9	-50.0994
