t	v
0	-59.9512
0.1	-59.9512
0.2	-59.9512
0.3	-59.9512
0.4	-59.9512
0.5	-59.9512
0.6	-59.9512
0.7	-59.9512
0.8	-59.9512
0.9	-59.9512
1	-59.9512
1.1	-59.9512
1.2	-59.9512
1.3	-59.9512
1.4	-59.9512
1.5	-59.9512
1.6	-59.9512
1.7	-59.9512
1.8	-59.9512
1.9	-59.9512
2	-59.9512
2.1	-59.9512
2.2	-59.9512
2.3	-59.9512
2.4	-59.9512
2.5	-59.9512
2.6	-59.9512
2.7	-59.9512
2.8	-59.9512
2.9	-59.9512
3	-59.9512
3.1	-59.9512
3.2	-59.9512
3.3	-59.9512
3.4	-59.9512
3.5	-59.9512
3.6	-59.9512
3.7	-59.9512
3.8	-59.9512
3.9	-59.9512
4	-59.9512
4.1	-59.9512
4.2	-59.9512
4.3	-59.9512
4.4	-59.9512
4.5	-59.9512
4.6	-59.9512
4.7	-59.9512
4.8	-59.9512
4.9	-59.9512
5	-59.9512
5.1	-59.9512
5.2	-59.9512
5.3	-59.9512
5.4	-59.9512
5.5	-59.9512
5.6	-59.9512
5.7	-59.9512
5.8	-59.9512
5.9	-59.9512
6	-59.9512
6.1	-59.9512
6.2	-59.9512
6.3	-59.9512
6.4	-59.9512
6.5	-59.9512
6.6	-59.9512
6.7	-59.9512
6.8	-59.9512
6.9	-59.9512
7	-59.9512
7.1	-59.9512
7.2	-59.9512
7.3	-59.9512
7.4	-59.9512
7.5	-59.9512
7.6	-59.9512
7.7	-59.9512
7.8	-59.9512
7.9	-59.9512
8	-59.9512
8.1	-59.9512
8.2	-59.6028
8.3	-58.8665
8.4	-57.8717
8.5	-56.6206
8.6	-55.1941
8.7	-53.6077
8.8	-51.9171
8.9	-50.1381
9	-48.3101
9.1	-46.4466
9.2	-44.5751
9.3	-42.7055
9.4	-40.8562
9.5	-39.0321
9.6	-37.2412
9.7	-35.4778
9.8	-33.73
9.9	-31.9618
10	-30.1063
10.1	-28.0181
10.2	-25.3743
10.3	-21.2403
10.4	-11.8379
10.5	25.1904
10.6	70.4335
10.7	35.7357
10.8	59.193
10.9	27.1797
11	42.8325
11.1	13.7697
11.2	23.6986
11.3	-0.358389
11.4	0.115303
11.5	-19.3098
11.6	-28.1472
11.7	-43.9781
11.8	-43.0916
11.9	-50.9805
12	-46.6401
12.1	-51.7276
12.2	-46.7284
12.3	-50.432
12.4	-45.5017
12.5	-48.3645
12.6	-43.7215
12.7	-46.0046
12.8	-41.7132
12.9	-43.5499
13	-39.6061
13.1	-41.0975
13.2	-37.494
13.3	-38.7102
13.4	-35.4033
13.5	-36.3505
13.6	-33.3124
13.7	-34.072
13.8	-31.3189
13.9	-31.9238
14	-29.4365
14.1	-29.882
14.2	-27.6194
14.3	-27.8659
14.4	-25.7614
14.5	-25.7276
14.6	-23.663
14.7	-23.1761
14.8	-20.883
14.9	-19.4678
15	-16.0423
15.1	-11.7048
15.2	-2.32056
15.3	15.369
15.4	31.2213
15.5	25.2954
15.6	19.1154
15.7	7.25269
15.8	-0.970695
15.9	-12.9183
16	-22.9009
16.1	-32.9766
16.2	-37.73
16.3	-42.1996
16.4	-43.4012
16.5	-45.4866
16.6	-45.3359
16.7	-46.3346
16.8	-45.5917
16.9	-46.0091
17	-44.9903
17.1	-45.0677
17.2	-43.9275
17.3	-43.7981
17.4	-42.6246
17.5	-42.3728
17.6	-41.2107
17.7	-40.8844
17.8	-39.7603
17.9	-39.3923
18	-38.3213
18.1	-37.9328
18.2	-36.9228
18.3	-36.5348
18.4	-35.6033
18.5	-35.2314
18.6	-34.374
18.7	-34.0175
18.8	-33.2268
18.9	-32.8827
19	-32.1498
19.1	-31.8133
19.2	-31.1281
19.3	-30.7926
19.4	-30.1439
19.5	-29.8007
19.6	-29.1756
19.7	-28.8138
19.8	-28.1971
19.9	-27.802
