t	v
0	-65.0127
0.1	-65.0127
0.2	-65.0127
0.3	-65.0127
0.4	-65.0127
0.5	-65.0127
0.6	-65.0127
0.7	-65.0127
0.8	-65.0127
0.9	-65.0127
1	-65.0127
1.1	-65.0127
1.2	-65.0127
1.3	-65.0127
1.4	-65.0127
1.5	-65.0127
1.6	-65.0127
1.7	-65.0127
1.8	-65.0127
1.9	-65.0127
2	-65.0127
2.1	-65.0127
2.2	-65.0127
2.3	-65.0127
2.4	-65.0127
2.5	-65.0127
2.6	-65.0127
2.7	-65.0127
2.8	-65.0127
2.9	-65.0127
3	-65.0127
3.1	-65.0127
3.2	-65.0127
3.3	-65.0127
3.4	-65.0127
3.5	-65.0127
3.6	-65.0127
3.7	-65.0127
3.8	-65.0127
3.9	-65.0127
4	-65.0127
4.1	-65.0127
4.2	-65.0127
4.3	-65.0127
4.4	-65.0127
4.5	-65.0127
4.6	-65.0127
4.7	-65.0127
4.8	-65.0127
4.9	-65.0127
5	-65.0127
5.1	-65.0127
5.2	-65.0127
5.3	-65.0127
5.4	-65.0127
5.5	-65.0127
5.6	-65.0127
5.7	-65.0127
5.8	-65.0127
5.9	-65.0127
6	-65.0127
6.1	-65.0127
6.2	-65.0127
6.3	-65.0127
6.4	-65.0127
6.5	-65.0127
6.6	-65.0127
6.7	-65.0127
6.8	-65.0127
6.9	-65.0127
7	-65.0127
7.1	-65.0127
7.2	-65.0127
7.3	-65.0127
7.4	-65.0127
7.5	-65.0127
7.6	-65.0127
7.7	-65.0127
7.8	-65.0127
7.9	-65.0127
8	-65.0127
8.1	-65.0127
8.2	-64.8783
8.3	-64.5145
8.4	-63.9621
8.5	-63.2378
8.6	-62.3696
8.7	-61.3808
8.8	-60.294
8.9	-59.1292
9	-57.9037
9.1	-56.6317
9.2	-55.3228
9.3	-53.9804
9.4	-52.5971
9.5	-51.1461
9.6	-49.5554
9.7	-47.6108
9.8	-44.4512
9.9	-36.6785
10	-16.0733
10.1	33.0596
10.2	56.2708
10.3	48.7292
10.4	39.0182
10.5	31.1522
10.6	17.8366
10.7	9.371
10.8	-1.00398
10.9	-8.14695
11	-15.6259
11.1	-22.8127
11.2	-31.6142
11.3	-42.3432
11.4	-52.4952
11.5	-58.9755
11.6	-62.4765
11.7	-64.3002
11.8	-65.1148
11.9	-65.3796
12	-65.249
12.1	-64.8851
12.2	-64.322
12.3	-63.6347
12.4	-62.8029
12.5	-61.9263
12.6	-61.0082
12.7	-60.0849
12.8	-59.1586
12.9	-58.2444
13	-57.3426
13.1	-56.462
13.2	-55.5988
13.3	-54.7551
13.4	-53.9
13.5	-52.9949
13.6	-52.0389
13.7	-51.0465
13.8	-50.0134
13.9	-48.9146
14	-47.6899
14.1	-46.1986
14.2	-43.9485
14.3	-39.8572
14.4	-32.1763
14.5	-18.4261
14.6	7.40419
14.7	36.3308
14.8	37.5006
14.9	27.4272
15	14.4321
15.1	2.87497
15.2	-7.1148
15.3	-15.2789
15.4	-23.3128
15.5	-31.7899
15.6	-41.4966
15.7	-50.6978
15.8	-57.3337
15.9	-61.2418
16	-63.5803
16.1	-64.8445
16.2	-65.54
16.3	-65.7968
16.4	-65.8204
16.5	-65.6317
16.6	-65.3254
16.7	-64.9044
16.8	-64.4216
16.9	-63.8777
17	-63.3042
17.1	-62.7015
17.2	-62.0886
17.3	-61.4661
17.4	-60.8467
17.5	-60.2399
17.6	-59.6568
17.7	-59.0953
17.8	-58.5579
17.9	-58.0417
18	-57.5473
18.1	-57.0723
18.2	-56.6163
18.3	-56.1777
18.4	-55.7563
18.5	-55.3522
18.6	-54.9653
18.7	-54.5947
18.8	-54.2394
18.9	-53.8982
19	-53.5702
19.1	-53.2542
19.2	-52.9493
19.3	-52.6543
19.4	-52.3684
19.5	-52.0902
19.6	-51.8188
19.7	-51.553
19.8	-51.2917
19.9	-51.0334
