t	v
0	-70.6341
0.1	-70.6337
0.2	-70.6334
0.3	-70.6331
0.4	-70.6328
0.5	-70.6324
0.6	-70.6321
0.7	-70.6318
0.8	-70.6315
0.9	-70.6312
1	-70.6308
1.1	-70.6305
1.2	-70.6302
1.3	-70.6299
1.4	-70.6296
1.5	-70.6292
1.6	-70.6289
1.7	-70.6286
1.8	-70.6283
1.9	-70.628
2	-70.6276
2.1	-70.6273
2.2	-70.627
2.3	-70.6267
2.4	-70.6264
2.5	-70.626
2.6	-70.6257
2.7	-70.6254
2.8	-70.6251
2.9	-70.6248
3	-70.6245
3.1	-70.6242
3.2	-70.6238
3.3	-70.6235
3.4	-70.6232
3.5	-70.6229
3.6	-70.6226
3.7	-70.6223
3.8	-70.622
3.9	-70.6216
4	-70.6213
4.1	-70.621
4.2	-70.6207
4.3	-70.6204
4.4	-70.6201
4.5	-70.6198
4.6	-70.6195
4.7	-70.6192
4.8	-70.6188
4.9	-70.6185
5	-70.6182
5.1	-70.6179
5.2	-70.6176
5.3	-70.6173
5.4	-70.617
5.5	-70.6167
5.6	-70.6164
5.7	-70.6161
5.8	-70.6158
5.9	-70.6155
6	-70.6152
6.1	-70.6149
6.2	-70.6145
6.3	-70.6142
6.4	-70.6139
6.5	-70.6136
6.6	-70.6133
6.7	-70.613
6.8	-70.6127
6.9	-70.6124
7	-70.6121
7.1	-70.6118
7.2	-70.6115
7.3	-70.6112
7.4	-70.6109
7.5	-70.6106
7.6	-70.6103
7.7	-70.61
7.8	-70.6097
7.9	-70.6094
8	-70.6091
8.1	-70.6088
8.2	-69.9542
8.3	-67.9698
8.4	-64.8242
8.5	-60.7823
8.6	-56.1351
8.7	-51.1383
8.8	-45.8621
8.9	-39.9855
9	-32.1943
9.1	-18.8526
9.2	4.76102
9.3	21.5868
9.4	26.9647
9.5	27.58
9.6	26.1084
9.7	23.4757
9.8	20.3608
9.9	16.9658
10	13.5935
10.1	10.3013
10.2	7.23939
10.3	4.40522
10.4	1.86438
10.5	-0.414264
10.6	-2.41131
10.7	-4.16719
10.8	-5.68425
10.9	-7.00148
11	-8.12939
11.1	-9.10109
11.2	-9.92865
11.3	-10.6382
11.4	-11.241
11.5	-11.7568
11.6	-12.1951
11.7	-12.5706
11.8	-12.8908
11.9	-13.1664
12	-13.4034
12.1	-13.6094
12.2	-13.7887
12.3	-13.9469
12.4	-14.568
12.5	-15.3582
12.6	-16.1374
12.7	-16.8785
12.8	-17.5143
12.9	-18.0645
13	-18.5071
13.1	-19.2702
13.2	-19.8758
13.3	-20.4519
13.4	-20.8613
13.5	-21.2022
13.6	-21.4191
13.7	-21.5842
13.8	-21.6677
13.9	-21.7154
14	-21.752
14.1	-21.9181
14.2	-22.2358
14.3	-22.6221
14.4	-22.9872
14.5	-23.3076
14.6	-23.5576
14.7	-23.7406
14.8	-23.8551
14.9	-23.9117
15	-23.9158
15.1	-23.8782
15.2	-23.8051
15.3	-23.7051
15.4	-23.5836
15.5	-23.4471
15.6	-23.2999
15.7	-23.1467
15.8	-22.9905
15.9	-22.8348
16	-22.682
16.1	-22.5338
16.2	-22.3918
16.3	-22.2571
16.4	-22.1305
16.5	-22.0127
16.6	-21.9041
16.7	-21.8051
16.8	-21.7154
16.9	-21.635
17	-21.5634
17.1	-21.5004
17.2	-21.4464
17.3	-21.4457
17.4	-21.867
17.5	-22.6019
17.6	-23.4797
17.7	-24.3585
17.8	-25.1937
17.9	-25.9368
18	-26.5865
18.1	-27.1328
18.2	-27.5865
18.3	-27.9521
18.4	-28.2438
18.5	-28.4682
18.6	-28.6346
18.7	-28.7481
18.8	-28.8161
18.9	-28.8428
19	-28.834
19.1	-28.7929
19.2	-28.7239
19.3	-28.6298
19.4	-28.5137
19.5	-28.3781
19.6	-28.2254
19.7	-28.0578
19.8	-27.8775
19.9	-27.6869
