t	v
0	-70.6341
0.1	-70.6337
0.2	-70.6334
0.3	-70.6331
0.4	-70.6328
0.5	-70.6324
0.6	-70.6321
0.7	-70.6318
0.8	-70.6315
0.9	-70.6312
1	-70.6308
1.1	-70.6305
1.2	-70.6302
1.3	-70.6299
1.4	-70.6296
1.5	-70.6292
1.6	-70.6289
1.7	-70.6286
1.8	-70.6283
1.9	-70.628
2	-70.6276
2.1	-70.6273
2.2	-70.627
2.3	-70.6267
2.4	-70.6264
2.5	-70.626
2.6	-70.6257
2.7	-70.6254
2.8	-70.6251
2.9	-70.6248
3	-70.6245
3.1	-70.6242
3.2	-70.6238
3.3	-70.6235
3.4	-70.6232
3.5	-70.6229
3.6	-70.6226
3.7	-70.6223
3.8	-70.622
3.9	-70.6216
4	-70.6213
4.1	-70.621
4.2	-70.6207
4.3	-70.6204
4.4	-70.6201
4.5	-70.6198
4.6	-70.6195
4.7	-70.6192
4.8	-70.6188
4.9	-70.6185
5	-70.6182
5.1	-70.6179
5.2	-70.6176
5.3	-70.6173
5.4	-70.617
5.5	-70.6167
5.6	-70.6164
5.7	-70.6161
5.8	-70.6158
5.9	-70.6155
6	-70.6152
6.1	-70.6149
6.2	-70.6145
6.3	-70.6142
6.4	-70.6139
6.5	-70.6136
6.6	-70.6133
6.7	-70.613
6.8	-70.6127
6.9	-70.6124
7	-70.6121
7.1	-70.6118
7.2	-70.6115
7.3	-70.6112
7.4	-70.6109
7.5	-70.6106
7.6	-70.6103
7.7	-70.61
7.8	-70.6097
7.9	-70.6094
8	-70.6091
8.1	-70.6088
8.2	-69.881
8.3	-67.7306
8.4	-64.3948
8.5	-60.1527
8.6	-55.3135
8.7	-50.1387
8.8	-44.6783
8.9	-38.5047
9	-29.9419
9.1	-14.5519
9.2	10.2777
9.3	23.2587
9.4	27.3702
9.5	27.013
9.6	25.2813
9.7	22.3382
9.8	19.2127
9.9	15.7524
10	12.4816
10.1	9.24709
10.2	6.33677
10.3	3.61592
10.4	1.23765
10.5	-0.912999
10.6	-2.75929
10.7	-4.39467
10.8	-5.78327
10.9	-6.99734
11	-8.02173
11.1	-8.91051
11.2	-9.65841
11.3	-10.3048
11.4	-10.8488
11.5	-11.3187
11.6	-11.7157
11.7	-12.0597
11.8	-12.3525
11.9	-12.6082
12	-12.8285
12.1	-13.0231
12.2	-13.1935
12.3	-13.3467
12.4	-13.983
12.5	-14.7824
12.6	-15.596
12.7	-16.4017
12.8	-17.1115
12.9	-17.7339
13	-18.2426
13.1	-19.063
13.2	-19.7131
13.3	-20.3209
13.4	-20.7517
13.5	-21.1061
13.6	-21.3348
13.7	-21.5136
13.8	-21.6118
13.9	-21.675
14	-21.6867
14.1	-21.8217
14.2	-22.1694
14.3	-22.6063
14.4	-23.0251
14.5	-23.3967
14.6	-23.6895
14.7	-23.9086
14.8	-24.0511
14.9	-24.1306
15	-24.1521
15.1	-24.1282
15.2	-24.0653
15.3	-23.9732
15.4	-23.8574
15.5	-23.7255
15.6	-23.5814
15.7	-23.4302
15.8	-23.2751
15.9	-23.1194
16	-22.9655
16.1	-22.8156
16.2	-22.6715
16.3	-22.5341
16.4	-22.4044
16.5	-22.2829
16.6	-22.1701
16.7	-22.0661
16.8	-21.9712
16.9	-21.8852
17	-21.808
17.1	-21.7393
17.2	-21.6786
17.3	-21.6272
17.4	-21.8613
17.5	-22.5097
17.6	-23.3739
17.7	-24.2961
17.8	-25.1826
17.9	-25.9928
18	-26.6996
18.1	-27.3037
18.2	-27.8032
18.3	-28.2097
18.4	-28.5314
18.5	-28.7832
18.6	-28.9739
18.7	-29.1136
18.8	-29.2074
18.9	-29.2616
19	-29.28
19.1	-29.2672
19.2	-29.2264
19.3	-29.1609
19.4	-29.0733
19.5	-28.9662
19.6	-28.8417
19.7	-28.7022
19.8	-28.5493
19.9	-28.3849
