t	v
0	-70.6341
0.1	-70.6337
0.2	-70.6334
0.3	-70.6331
0.4	-70.6328
0.5	-70.6324
0.6	-70.6321
0.7	-70.6318
0.8	-70.6315
0.9	-70.6312
1	-70.6308
1.1	-70.6305
1.2	-70.6302
1.3	-70.6299
1.4	-70.6296
1.5	-70.6292
1.6	-70.6289
1.7	-70.6286
1.8	-70.6283
1.9	-70.628
2	-70.6276
2.1	-70.6273
2.2	-70.627
2.3	-70.6267
2.4	-70.6264
2.5	-70.626
2.6	-70.6257
2.7	-70.6254
2.8	-70.6251
2.9	-70.6248
3	-70.6245
3.1	-70.6242
3.2	-70.6238
3.3	-70.6235
3.4	-70.6232
3.5	-70.6229
3.6	-70.6226
3.7	-70.6223
3.8	-70.622
3.9	-70.6216
4	-70.6213
4.1	-70.621
4.2	-70.6207
4.3	-70.6204
4.4	-70.6201
4.5	-70.6198
4.6	-70.6195
4.7	-70.6192
4.8	-70.6188
4.9	-70.6185
5	-70.6182
5.1	-70.6179
5.2	-70.6176
5.3	-70.6173
5.4	-70.617
5.5	-70.6167
5.6	-70.6164
5.7	-70.6161
5.8	-70.6158
5.9	-70.6155
6	-70.6152
6.1	-70.6149
6.2	-70.6145
6.3	-70.6142
6.4	-70.6139
6.5	-70.6136
6.6	-70.6133
6.7	-70.613
6.8	-70.6127
6.9	-70.6124
7	-70.6121
7.1	-70.6118
7.2	-70.6115
7.3	-70.6112
7.4	-70.6109
7.5	-70.6106
7.6	-70.6103
7.7	-70.61
7.8	-70.6097
7.9	-70.6094
8	-70.6091
8.1	-70.6088
8.2	-69.9833
8.3	-68.0728
8.4	-65.0225
8.5	-61.0851
8.6	-56.5406
8.7	-51.637
8.8	-46.4481
8.9	-40.7095
9	-33.3013
9.1	-21.0229
9.2	1.3843
9.3	20.3857
9.4	26.5358
9.5	27.7847
9.6	26.4624
9.7	24.0432
9.8	20.9406
9.9	17.6103
10	14.1901
10.1	10.8876
10.2	7.74978
10.3	4.86906
10.4	2.24517
10.5	-0.0923874
10.6	-2.16721
10.7	-3.98114
10.8	-5.56503
10.9	-6.93335
11	-8.11558
11.1	-9.1291
11.2	-9.99895
11.3	-10.741
11.4	-11.3755
11.5	-11.9155
11.6	-12.3764
11.7	-12.769
11.8	-13.1047
11.9	-13.3917
12	-13.6386
12.1	-13.8514
12.2	-14.0365
12.3	-14.1984
12.4	-14.7955
12.5	-15.5646
12.6	-16.3302
12.7	-17.0574
12.8	-17.6865
12.9	-18.2294
13	-18.6698
13.1	-19.4288
13.2	-20.0352
13.3	-20.6122
13.4	-21.0256
13.5	-21.3701
13.6	-21.5936
13.7	-21.7661
13.8	-21.8573
13.9	-21.9121
14	-21.9516
14.1	-22.1805
14.2	-22.6061
14.3	-23.0758
14.4	-23.5166
14.5	-23.8935
14.6	-24.186
14.7	-24.3993
14.8	-24.5329
14.9	-24.6009
15	-24.608
15.1	-24.5682
15.2	-24.4868
15.3	-24.3751
15.4	-24.2377
15.5	-24.0829
15.6	-23.9143
15.7	-23.7384
15.8	-23.558
15.9	-23.3774
16	-23.1984
16.1	-23.024
16.2	-22.8556
16.3	-22.6954
16.4	-22.5441
16.5	-22.4027
16.6	-22.2714
16.7	-22.1505
16.8	-22.0401
16.9	-21.9403
17	-21.851
17.1	-21.7719
17.2	-21.703
17.3	-21.6828
17.4	-22.1403
17.5	-22.9594
17.6	-23.9064
17.7	-24.8551
17.8	-25.7491
17.9	-26.5444
18	-27.2397
18.1	-27.8249
18.2	-28.3133
18.3	-28.7089
18.4	-29.0291
18.5	-29.2772
18.6	-29.4654
18.7	-29.5967
18.8	-29.6799
18.9	-29.718
19	-29.7177
19.1	-29.6816
19.2	-29.6144
19.3	-29.5183
19.4	-29.397
19.5	-29.2523
19.6	-29.0869
19.7	-28.9026
19.8	-28.702
19.9	-28.4871
