t	v
0	-67.0184
0.1	-67.0184
0.2	-67.0184
0.3	-67.0184
0.4	-67.0184
0.5	-67.0184
0.6	-67.0184
0.7	-67.0184
0.8	-67.0184
0.9	-67.0184
1	-67.0184
1.1	-67.0184
1.2	-67.0184
1.3	-67.0184
1.4	-67.0184
1.5	-67.0184
1.6	-67.0184
1.7	-67.0184
1.8	-67.0184
1.9	-67.0184
2	-67.0184
2.1	-67.0184
2.2	-67.0184
2.3	-67.0184
2.4	-67.0184
2.5	-67.0184
2.6	-67.0184
2.7	-67.0184
2.8	-67.0184
2.9	-67.0184
3	-67.0184
3.1	-67.0184
3.2	-67.0184
3.3	-67.0184
3.4	-67.0184
3.5	-67.0184
3.6	-67.0184
3.7	-67.0184
3.8	-67.0184
3.9	-67.0184
4	-67.0184
4.1	-67.0184
4.2	-67.0184
4.3	-67.0184
4.4	-67.0184
4.5	-67.0184
4.6	-67.0184
4.7	-67.0184
4.8	-67.0184
4.9	-67.0184
5	-67.0184
5.1	-67.0184
5.2	-67.0184
5.3	-67.0184
5.4	-67.0184
5.5	-67.0184
5.6	-67.0184
5.7	-67.0184
5.8	-67.0184
5.9	-67.0184
6	-67.0184
6.1	-67.0184
6.2	-67.0184
6.3	-67.0184
6.4	-67.0184
6.5	-67.0184
6.6	-67.0184
6.7	-67.0184
6.8	-67.0184
6.9	-67.0184
7	-67.0184
7.1	-67.0184
7.2	-67.0184
7.3	-67.0184
7.4	-67.0184
7.5	-67.0184
7.6	-67.0184
7.7	-67.0184
7.8	-67.0184
7.9	-67.0184
8	-67.0184
8.1	-67.0184
8.2	-66.8418
8.3	-66.3692
8.4	-65.6576
8.5	-64.7256
8.6	-63.6121
8.7	-62.348
8.8	-60.9636
8.9	-59.4871
9	-57.9424
9.1	-56.3521
9.2	-54.7344
9.3	-53.1062
9.4	-51.4805
9.5	-49.8688
9.6	-48.2788
9.7	-46.7161
9.8	-45.1822
9.9	-43.6751
10	-42.1862
10.1	-40.6981
10.2	-39.1744
10.3	-37.5334
10.4	-35.5587
10.5	-32.7146
10.6	-28.1345
10.7	-21.1959
10.8	-10.4924
10.9	8.98852
11	36.3533
11.1	44.5144
11.2	37.6474
11.3	25.6233
11.4	15.975
11.5	6.11075
11.6	-2.26005
11.7	-12.4009
11.8	-25.8229
11.9	-43.2844
12	-57.0404
12.1	-64.6385
12.2	-68.0929
12.3	-69.8965
12.4	-70.2641
12.5	-70.1257
12.6	-69.5027
12.7	-68.7047
12.8	-67.7116
12.9	-66.6458
13	-65.497
13.1	-64.145
13.2	-62.9515
13.3	-61.7451
13.4	-57.3932
13.5	-49.3477
13.6	-42.5782
13.7	-37.8637
13.8	-34.0543
13.9	-30.361
14	-25.8767
14.1	-20.1805
14.2	-12.169
14.3	0.305241
14.4	14.8014
14.5	18.9417
14.6	13.5552
14.7	5.1078
14.8	-4.74793
14.9	-17.6179
15	-36.5358
15.1	-52.4582
15.2	-60.1123
15.3	-64.7378
15.4	-67.007
15.5	-68.2291
15.6	-68.6765
15.7	-68.6779
15.8	-68.3722
15.9	-67.8476
16	-67.1923
16.1	-66.4175
16.2	-65.5813
16.3	-64.6858
16.4	-63.7717
16.5	-62.8389
16.6	-61.9126
16.7	-60.9914
16.8	-60.0904
16.9	-59.2079
17	-58.3523
17.1	-57.5222
17.2	-56.7219
17.3	-55.95
17.4	-55.3114
17.5	-54.7945
17.6	-54.2999
17.7	-53.8379
17.8	-53.3807
17.9	-52.937
18	-52.4981
18.1	-52.0699
18.2	-51.6495
18.3	-51.241
18.4	-50.8443
18.5	-50.4636
18.6	-50.1003
18.7	-49.756
18.8	-49.4291
18.9	-49.1196
19	-48.8263
19.1	-48.5489
19.2	-48.2863
19.3	-48.0379
19.4	-47.8028
19.5	-47.5804
19.6	-47.3699
19.7	-47.1706
19.8	-46.9818
19.9	-46.8029
