t	v
0	-65.0127
0.1	-65.0127
0.2	-65.0127
0.3	-65.0127
0.4	-65.0127
0.5	-65.0127
0.6	-65.0127
0.7	-65.0127
0.8	-65.0127
0.9	-65.0127
1	-65.0127
1.1	-65.0127
1.2	-65.0127
1.3	-65.0127
1.4	-65.0127
1.5	-65.0127
1.6	-65.0127
1.7	-65.0127
1.8	-65.0127
1.9	-65.0127
2	-65.0127
2.1	-65.0127
2.2	-65.0127
2.3	-65.0127
2.4	-65.0127
2.5	-65.0127
2.6	-65.0127
2.7	-65.0127
2.8	-65.0127
2.9	-65.0127
3	-65.0127
3.1	-65.0127
3.2	-65.0127
3.3	-65.0127
3.4	-65.0127
3.5	-65.0127
3.6	-65.0127
3.7	-65.0127
3.8	-65.0127
3.9	-65.0127
4	-65.0127
4.1	-65.0127
4.2	-65.0127
4.3	-65.0127
4.4	-65.0127
4.5	-65.0127
4.6	-65.0127
4.7	-65.0127
4.8	-65.0127
4.9	-65.0127
5	-65.0127
5.1	-65.0127
5.2	-65.0127
5.3	-65.0127
5.4	-65.0127
5.5	-65.0127
5.6	-65.0127
5.7	-65.0127
5.8	-65.0127
5.9	-65.0127
6	-65.0127
6.1	-65.0127
6.2	-65.0127
6.3	-65.0127
6.4	-65.0127
6.5	-65.0127
6.6	-65.0127
6.7	-65.0127
6.8	-65.0127
6.9	-65.0127
7	-65.0127
7.1	-65.0127
7.2	-65.0127
7.3	-65.0127
7.4	-65.0127
7.5	-65.0127
7.6	-65.0127
7.7	-65.0127
7.8	-65.0127
7.9	-65.0127
8	-65.0127
8.1	-65.0127
8.2	-64.8703
8.3	-64.4888
8.4	-63.915
8.5	-63.1673
8.6	-62.2753
8.7	-61.2633
8.8	-60.1543
8.9	-58.9687
9	-57.724
9.1	-56.4345
9.2	-55.1096
9.3	-53.7528
9.4	-52.3571
9.5	-50.8973
9.6	-49.3081
9.7	-47.4113
9.8	-44.5541
9.9	-38.0101
10	-20.9395
10.1	23.0057
10.2	59.5714
10.3	47.0879
10.4	42.5955
10.5	31.3063
10.6	20.5025
10.7	10.1952
10.8	0.777777
10.9	-7.30376
11	-14.3144
11.1	-21.646
11.2	-29.8875
11.3	-40.4528
11.4	-50.9924
11.5	-58.1461
11.6	-61.986
11.7	-64.0216
11.8	-64.9158
11.9	-65.2494
12	-65.1362
12.1	-64.7996
12.2	-64.2389
12.3	-63.5631
12.4	-62.7332
12.5	-61.8618
12.6	-60.9423
12.7	-60.0191
12.8	-59.09
12.9	-58.1748
13	-57.2706
13.1	-56.3893
13.2	-55.5252
13.3	-54.6824
13.4	-53.8217
13.5	-52.9032
13.6	-51.9378
13.7	-50.9465
13.8	-49.928
13.9	-48.868
14	-47.7165
14.1	-46.3953
14.2	-44.6277
14.3	-41.7583
14.4	-36.9725
14.5	-29.6519
14.6	-16.396
14.7	13.4479
14.8	40.6853
14.9	37.0022
15	24.8108
15.1	12.4168
15.2	0.465054
15.3	-8.59424
15.4	-16.8325
15.5	-24.5525
15.6	-33.4889
15.7	-43.489
15.8	-52.5746
15.9	-58.5691
16	-62.0974
16.1	-64.1202
16.2	-65.2367
16.3	-65.789
16.4	-65.9841
16.5	-65.9297
16.6	-65.7046
16.7	-65.3489
16.8	-64.9035
16.9	-64.3885
17	-63.8281
17.1	-63.2336
17.2	-62.6197
17.3	-61.9933
17.4	-61.3633
17.5	-60.7416
17.6	-60.1381
17.7	-59.5542
17.8	-58.9924
17.9	-58.4522
18	-57.9337
18.1	-57.436
18.2	-56.9584
18.3	-56.4999
18.4	-56.0603
18.5	-55.6397
18.6	-55.2382
18.7	-54.8549
18.8	-54.4889
18.9	-54.1391
19	-53.8043
19.1	-53.4836
19.2	-53.1758
19.3	-52.88
19.4	-52.5952
19.5	-52.3203
19.6	-52.0544
19.7	-51.7964
19.8	-51.5455
19.9	-51.3005
