cell	x	y	z	host
4448	2525.000000	342.000000	300.000000	0
4456	2525.000000	646.000000	300.000000	0
4464	2525.000000	950.000000	300.000000	0
4472	2575.000000	266.000000	300.000000	0
4480	2575.000000	570.000000	300.000000	0
4488	2575.000000	874.000000	300.000000	0
4496	2625.000000	190.000000	300.000000	0
4504	2625.000000	494.000000	300.000000	0
4512	2625.000000	798.000000	300.000000	0
4520	2675.000000	114.000000	300.000000	0
4528	2675.000000	418.000000	300.000000	0
4536	2675.000000	722.000000	300.000000	0
4544	2725.000000	38.000000	300.000000	0
4552	2725.000000	342.000000	300.000000	0
4560	2725.000000	646.000000	300.000000	0
4568	2725.000000	950.000000	300.000000	0
4576	2775.000000	266.000000	300.000000	0
4584	2775.000000	570.000000	300.000000	0
4592	2775.000000	874.000000	300.000000	0
4600	2825.000000	190.000000	300.000000	0
4608	2825.000000	494.000000	300.000000	0
4616	2825.000000	798.000000	300.000000	0
4624	2875.000000	114.000000	300.000000	0
4632	2875.000000	418.000000	300.000000	0
4640	2875.000000	722.000000	300.000000	0
4648	2925.000000	38.000000	300.000000	0
4656	2925.000000	342.000000	300.000000	0
4664	2925.000000	646.000000	300.000000	0
4672	2925.000000	950.000000	300.000000	0
4680	2975.000000	266.000000	300.000000	0
4688	2975.000000	570.000000	300.000000	0
4696	2975.000000	874.000000	300.000000	0
4704	3025.000000	190.000000	300.000000	0
4712	3025.000000	494.000000	300.000000	0
4720	3025.000000	798.000000	300.000000	0
4728	3075.000000	114.000000	300.000000	0
4736	3075.000000	418.000000	300.000000	0
4744	3075.000000	722.000000	300.000000	0
4752	3125.000000	38.000000	300.000000	0
4760	3125.000000	342.000000	300.000000	0
4768	3125.000000	646.000000	300.000000	0
4776	3125.000000	950.000000	300.000000	0
4784	3175.000000	266.000000	300.000000	0
4792	3175.000000	570.000000	300.000000	0
4800	3175.000000	874.000000	300.000000	0
4808	3225.000000	190.000000	300.000000	0
4816	3225.000000	494.000000	300.000000	0
4824	3225.000000	798.000000	300.000000	0
4832	3275.000000	114.000000	300.000000	0
4840	3275.000000	418.000000	300.000000	0
4848	3275.000000	722.000000	300.000000	0
4856	3325.000000	38.000000	300.000000	0
4864	3325.000000	342.000000	300.000000	0
4872	3325.000000	646.000000	300.000000	0
4880	3325.000000	950.000000	300.000000	0
4888	3375.000000	266.000000	300.000000	0
4896	3375.000000	570.000000	300.000000	0
4904	3375.000000	874.000000	300.000000	0
4912	3425.000000	190.000000	300.000000	0
4920	3425.000000	494.000000	300.000000	0
4928	3425.000000	798.000000	300.000000	0
4936	3475.000000	114.000000	300.000000	0
4944	3475.000000	418.000000	300.000000	0
4952	3475.000000	722.000000	300.000000	0
4960	3525.000000	38.000000	300.000000	0
4968	3525.000000	342.000000	300.000000	0
4976	3525.000000	646.000000	300.000000	0
4984	3525.000000	950.000000	300.000000	0
4992	3575.000000	266.000000	300.000000	0
5000	3575.000000	570.000000	300.000000	0
5008	3575.000000	874.000000	300.000000	0
1	500.000000	375.000000	125.000000	1
9	2500.000000	375.000000	125.000000	1
17	333.000000	625.000000	125.000000	1
25	1665.000000	625.000000	125.000000	1
33	2997.000000	625.000000	125.000000	1
