t	v
0	-65.0127
0.1	-65.0127
0.2	-65.0127
0.3	-65.0127
0.4	-65.0127
0.5	-65.0127
0.6	-65.0127
0.7	-65.0127
0.8	-65.0127
0.9	-65.0127
1	-65.0127
1.1	-65.0127
1.2	-65.0127
1.3	-65.0127
1.4	-65.0127
1.5	-65.0127
1.6	-65.0127
1.7	-65.0127
1.8	-65.0127
1.9	-65.0127
2	-65.0127
2.1	-65.0127
2.2	-65.0127
2.3	-65.0127
2.4	-65.0127
2.5	-65.0127
2.6	-65.0127
2.7	-65.0127
2.8	-65.0127
2.9	-65.0127
3	-65.0127
3.1	-65.0127
3.2	-65.0127
3.3	-65.0127
3.4	-65.0127
3.5	-65.0127
3.6	-65.0127
3.7	-65.0127
3.8	-65.0127
3.9	-65.0127
4	-65.0127
4.1	-65.0127
4.2	-65.0127
4.3	-65.0127
4.4	-65.0127
4.5	-65.0127
4.6	-65.0127
4.7	-65.0127
4.8	-65.0127
4.9	-65.0127
5	-65.0127
5.1	-65.0127
5.2	-65.0127
5.3	-65.0127
5.4	-65.0127
5.5	-65.0127
5.6	-65.0127
5.7	-65.0127
5.8	-65.0127
5.9	-65.0127
6	-65.0127
6.1	-65.0127
6.2	-65.0127
6.3	-65.0127
6.4	-65.0127
6.5	-65.0127
6.6	-65.0127
6.7	-65.0127
6.8	-65.0127
6.9	-65.0127
7	-65.0127
7.1	-65.0127
7.2	-65.0127
7.3	-65.0127
7.4	-65.0127
7.5	-65.0127
7.6	-65.0127
7.7	-65.0127
7.8	-65.0127
7.9	-65.0127
8	-65.0127
8.1	-65.0127
8.2	-64.8895
8.3	-64.5481
8.4	-64.0197
8.5	-63.3217
8.6	-62.4801
8.7	-61.518
8.8	-60.4571
8.9	-59.3175
9	-58.1159
9.1	-56.8663
9.2	-55.578
9.3	-54.2536
9.4	-52.8843
9.5	-51.4391
9.6	-49.833
9.7	-47.7922
9.8	-44.1251
9.9	-34.5103
10	-10.1815
10.1	42.1698
10.2	52.6719
10.3	50.026
10.4	35.6937
10.5	30.7267
10.6	15.3186
10.7	8.54213
10.8	-2.75865
10.9	-8.9209
11	-16.9777
11.1	-23.9249
11.2	-33.3587
11.3	-44.1135
11.4	-53.9239
11.5	-59.7913
11.6	-63.0527
11.7	-64.67
11.8	-65.4493
11.9	-65.6405
12	-65.517
12.1	-65.1222
12.2	-64.5707
12.3	-63.8695
12.4	-63.045
12.5	-62.1576
12.6	-61.2425
12.7	-60.3097
12.8	-59.3828
12.9	-58.4612
13	-57.5573
13.1	-56.67
13.2	-55.8026
13.3	-54.9504
13.4	-54.0722
13.5	-53.119
13.6	-52.1054
13.7	-51.0415
13.8	-49.9076
13.9	-48.6322
14	-47.0009
14.1	-44.5518
14.2	-40.3176
14.3	-32.8446
14.4	-20.0414
14.5	4.20227
14.6	35.0316
14.7	37.7598
14.8	28.7472
14.9	15.2593
15	3.99566
15.1	-6.45988
15.2	-14.5478
15.3	-22.7115
15.4	-31.0324
15.5	-40.7062
15.6	-50.0428
15.7	-56.9873
15.8	-61.0897
15.9	-63.5515
16	-64.8845
16.1	-65.6294
16.2	-65.9141
16.3	-65.9616
16.4	-65.7865
16.5	-65.4932
16.6	-65.0792
16.7	-64.6031
16.8	-64.0624
16.9	-63.4918
17	-62.89
17.1	-62.2778
17.2	-61.6547
17.3	-61.0333
17.4	-60.4214
17.5	-59.8358
17.6	-59.2749
17.7	-58.741
17.8	-58.2296
17.9	-57.7403
18	-57.2705
18.1	-56.8194
18.2	-56.385
18.3	-55.9666
18.4	-55.5634
18.5	-55.1757
18.6	-54.8034
18.7	-54.4461
18.8	-54.1025
18.9	-53.7716
19	-53.4522
19.1	-53.1432
19.2	-52.8433
19.3	-52.5514
19.4	-52.2658
19.5	-51.9852
19.6	-51.7077
19.7	-51.4308
19.8	-51.1515
19.9	-50.865
