t	v
0	-65.0246
0.1	-65.0246
0.2	-65.0246
0.3	-65.0246
0.4	-65.0246
0.5	-65.0246
0.6	-65.0246
0.7	-65.0246
0.8	-65.0246
0.9	-65.0246
1	-65.0246
1.1	-65.0246
1.2	-65.0246
1.3	-65.0246
1.4	-65.0246
1.5	-65.0246
1.6	-65.0246
1.7	-65.0246
1.8	-65.0246
1.9	-65.0246
2	-65.0246
2.1	-65.0246
2.2	-65.0246
2.3	-65.0246
2.4	-65.0246
2.5	-65.0246
2.6	-65.0246
2.7	-65.0246
2.8	-65.0246
2.9	-65.0246
3	-65.0246
3.1	-65.0246
3.2	-65.0246
3.3	-65.0246
3.4	-65.0246
3.5	-65.0246
3.6	-65.0246
3.7	-65.0246
3.8	-65.0246
3.9	-65.0246
4	-65.0246
4.1	-65.0246
4.2	-65.0246
4.3	-65.0246
4.4	-65.0246
4.5	-65.0246
4.6	-65.0246
4.7	-65.0246
4.8	-65.0246
4.9	-65.0246
5	-65.0246
5.1	-65.0246
5.2	-65.0246
5.3	-65.0246
5.4	-65.0246
5.5	-65.0246
5.6	-65.0246
5.7	-65.0246
5.8	-65.0246
5.9	-65.0246
6	-65.0246
6.1	-65.0246
6.2	-65.0246
6.3	-65.0246
6.4	-65.0246
6.5	-65.0246
6.6	-65.0246
6.7	-65.0246
6.8	-65.0246
6.9	-65.0246
7	-65.0246
7.1	-65.0246
7.2	-65.0246
7.3	-65.0246
7.4	-65.0246
7.5	-65.0246
7.6	-65.0246
7.7	-65.0246
7.8	-65.0246
7.9	-65.0246
8	-65.0246
8.1	-65.0246
8.2	-64.8009
8.3	-64.1799
8.4	-63.2269
8.5	-61.9841
8.6	-60.5074
8.7	-58.8487
8.8	-57.0549
8.9	-55.1684
9	-53.2238
9.1	-51.2485
9.2	-49.2579
9.3	-47.2479
9.4	-45.1698
9.5	-42.8245
9.6	-39.3348
9.7	-31.8816
9.8	-15.8795
9.9	22.0916
10	63.9064
10.1	44.2408
10.2	50.3146
10.3	37.0611
10.4	35.7155
10.5	26.5532
10.6	22.6903
10.7	15.1653
10.8	10.3477
10.9	3.40169
11	-2.05784
11.1	-8.61992
11.2	-14.5979
11.3	-22.4582
11.4	-32.1563
11.5	-44.7183
11.6	-54.982
11.7	-61.0692
11.8	-63.7824
11.9	-64.986
12	-65.1057
12.1	-64.7822
12.2	-64.042
12.3	-63.129
12.4	-61.867
12.5	-60.8542
12.6	-59.9212
12.7	-59.1461
12.8	-58.4456
12.9	-57.8297
13	-57.2637
13.1	-56.8038
13.2	-56.3341
13.3	-55.9094
13.4	-54.0548
13.5	-50.7937
13.6	-48.4546
13.7	-47.1226
13.8	-45.7863
13.9	-42.8513
14	-35.1241
14.1	-20.8914
14.2	13.735
14.3	45.0784
14.4	23.4708
14.5	30.9098
14.6	14.6495
14.7	16.2457
14.8	4.21038
14.9	1.62394
15	-8.09596
15.1	-13.4498
15.2	-23.9397
15.3	-36.37
15.4	-52.8763
15.5	-61.3472
15.6	-64.8159
15.7	-65.464
15.8	-65.7217
15.9	-65.0841
16	-64.6025
16.1	-63.8322
16.2	-63.2343
16.3	-62.513
16.4	-61.9248
16.5	-61.2846
16.6	-60.7433
16.7	-60.186
16.8	-59.7023
16.9	-59.2209
17	-58.7949
17.1	-58.38
17.2	-58.0071
17.3	-57.6839
17.4	-57.5719
17.5	-57.6036
17.6	-57.6489
17.7	-57.6596
17.8	-57.6535
17.9	-57.6187
18	-57.5725
18.1	-57.512
18.2	-57.4463
18.3	-57.3769
18.4	-57.3106
18.5	-57.2453
18.6	-57.182
18.7	-57.1198
18.8	-57.0593
18.9	-57.0002
19	-56.9428
19.1	-56.8869
19.2	-56.8325
19.3	-56.7794
19.4	-56.7278
19.5	-56.6774
19.6	-56.6282
19.7	-56.58
19.8	-56.5329
19.9	-56.4866
