t	v
0	-65.0127
0.1	-65.0127
0.2	-65.0127
0.3	-65.0127
0.4	-65.0127
0.5	-65.0127
0.6	-65.0127
0.7	-65.0127
0.8	-65.0127
0.9	-65.0127
1	-65.0127
1.1	-65.0127
1.2	-65.0127
1.3	-65.0127
1.4	-65.0127
1.5	-65.0127
1.6	-65.0127
1.7	-65.0127
1.8	-65.0127
1.9	-65.0127
2	-65.0127
2.1	-65.0127
2.2	-65.0127
2.3	-65.0127
2.4	-65.0127
2.5	-65.0127
2.6	-65.0127
2.7	-65.0127
2.8	-65.0127
2.9	-65.0127
3	-65.0127
3.1	-65.0127
3.2	-65.0127
3.3	-65.0127
3.4	-65.0127
3.5	-65.0127
3.6	-65.0127
3.7	-65.0127
3.8	-65.0127
3.9	-65.0127
4	-65.0127
4.1	-65.0127
4.2	-65.0127
4.3	-65.0127
4.4	-65.0127
4.5	-65.0127
4.6	-65.0127
4.7	-65.0127
4.8	-65.0127
4.9	-65.0127
5	-65.0127
5.1	-65.0127
5.2	-65.0127
5.3	-65.0127
5.4	-65.0127
5.5	-65.0127
5.6	-65.0127
5.7	-65.0127
5.8	-65.0127
5.9	-65.0127
6	-65.0127
6.1	-65.0127
6.2	-65.0127
6.3	-65.0127
6.4	-65.0127
6.5	-65.0127
6.6	-65.0127
6.7	-65.0127
6.8	-65.0127
6.9	-65.0127
7	-65.0127
7.1	-65.0127
7.2	-65.0127
7.3	-65.0127
7.4	-65.0127
7.5	-65.0127
7.6	-65.0127
7.7	-65.0127
7.8	-65.0127
7.9	-65.0127
8	-65.0127
8.1	-65.0127
8.2	-64.8833
8.3	-64.5299
8.4	-63.9899
8.5	-63.2801
8.6	-62.4276
8.7	-61.4556
8.8	-60.3863
8.9	-59.2397
9	-58.0325
9.1	-56.7785
9.2	-55.4863
9.3	-54.1574
9.4	-52.7811
9.5	-51.3214
9.6	-49.68
9.7	-47.5299
9.8	-43.411
9.9	-32.2629
10	-4.51712
10.1	48.6164
10.2	49.9869
10.3	50.2464
10.4	33.5767
10.5	29.7253
10.6	13.6244
10.7	7.56647
10.8	-4.0056
10.9	-9.65812
11	-17.9869
11.1	-24.8079
11.2	-34.6044
11.3	-45.2642
11.4	-54.7437
11.5	-60.1649
11.6	-63.2401
11.7	-64.684
11.8	-65.4145
11.9	-65.5298
12	-65.3926
12.1	-64.9591
12.2	-64.4036
12.3	-63.6825
12.4	-62.8491
12.5	-61.9533
12.6	-61.0403
12.7	-60.1128
12.8	-59.1984
12.9	-58.2901
13	-57.4029
13.1	-56.5318
13.2	-55.6814
13.3	-54.8446
13.4	-53.9962
13.5	-53.1
13.6	-52.1612
13.7	-51.1804
13.8	-50.1368
13.9	-48.9648
14	-47.4776
14.1	-45.1656
14.2	-40.9584
14.3	-33.2485
14.4	-20.2184
14.5	3.4119
14.6	33.9146
14.7	37.7566
14.8	29.2489
14.9	15.678
15	4.55887
15.1	-6.05458
15.2	-14.0428
15.3	-22.1556
15.4	-30.2373
15.5	-39.7172
15.6	-49.0424
15.7	-56.2503
15.8	-60.5993
15.9	-63.2402
16	-64.6992
16.1	-65.5347
16.2	-65.8836
16.3	-65.9831
16.4	-65.8467
16.5	-65.5854
16.6	-65.1932
16.7	-64.7334
16.8	-64.201
16.9	-63.6342
17	-63.0303
17.1	-62.4124
17.2	-61.7791
17.3	-61.1448
17.4	-60.5084
17.5	-59.8797
17.6	-59.2584
17.7	-58.6497
17.8	-58.053
17.9	-57.4711
18	-56.9031
18.1	-56.3502
18.2	-55.8115
18.3	-55.2884
18.4	-54.7811
18.5	-54.2892
18.6	-53.8107
18.7	-53.3437
18.8	-52.8855
18.9	-52.4329
19	-51.9812
19.1	-51.5242
19.2	-51.052
19.3	-50.5479
19.4	-49.977
19.5	-49.2488
19.6	-48.0843
19.7	-45.7425
19.8	-40.6819
19.9	-30.3267
