t	v
0	-65.0127
0.1	-65.0127
0.2	-65.0127
0.3	-65.0127
0.4	-65.0127
0.5	-65.0127
0.6	-65.0127
0.7	-65.0127
0.8	-65.0127
0.9	-65.0127
1	-65.0127
1.1	-65.0127
1.2	-65.0127
1.3	-65.0127
1.4	-65.0127
1.5	-65.0127
1.6	-65.0127
1.7	-65.0127
1.8	-65.0127
1.9	-65.0127
2	-65.0127
2.1	-65.0127
2.2	-65.0127
2.3	-65.0127
2.4	-65.0127
2.5	-65.0127
2.6	-65.0127
2.7	-65.0127
2.8	-65.0127
2.9	-65.0127
3	-65.0127
3.1	-65.0127
3.2	-65.0127
3.3	-65.0127
3.4	-65.0127
3.5	-65.0127
3.6	-65.0127
3.7	-65.0127
3.8	-65.0127
3.9	-65.0127
4	-65.0127
4.1	-65.0127
4.2	-65.0127
4.3	-65.0127
4.4	-65.0127
4.5	-65.0127
4.6	-65.0127
4.7	-65.0127
4.8	-65.0127
4.9	-65.0127
5	-65.0127
5.1	-65.0127
5.2	-65.0127
5.3	-65.0127
5.4	-65.0127
5.5	-65.0127
5.6	-65.0127
5.7	-65.0127
5.8	-65.0127
5.9	-65.0127
6	-65.0127
6.1	-65.0127
6.2	-65.0127
6.3	-65.0127
6.4	-65.0127
6.5	-65.0127
6.6	-65.0127
6.7	-65.0127
6.8	-65.0127
6.9	-65.0127
7	-65.0127
7.1	-65.0127
7.2	-65.0127
7.3	-65.0127
7.4	-65.0127
7.5	-65.0127
7.6	-65.0127
7.7	-65.0127
7.8	-65.0127
7.9	-65.0127
8	-65.0127
8.1	-65.0127
8.2	-64.8819
8.3	-64.5247
8.4	-63.9806
8.5	-63.2665
8.6	-62.4098
8.7	-61.4342
8.8	-60.3615
8.9	-59.212
9	-58.0023
9.1	-56.7462
9.2	-55.452
9.3	-54.1208
9.4	-52.7404
9.5	-51.2715
9.6	-49.5992
9.7	-47.2961
9.8	-42.6249
9.9	-31.1063
10	-3.4525
10.1	50.3431
10.2	49.5888
10.3	49.8865
10.4	33.4214
10.5	29.1183
10.6	13.4244
10.7	7.12054
10.8	-4.22982
10.9	-9.934
11	-18.2225
11.1	-25.0371
11.2	-34.8855
11.3	-45.5404
11.4	-54.983
11.5	-60.2902
11.6	-63.3299
11.7	-64.7194
11.8	-65.4427
11.9	-65.5303
12	-65.3922
12.1	-64.9425
12.2	-64.3868
12.3	-63.6556
12.4	-62.8303
12.5	-61.9325
12.6	-61.0231
12.7	-60.0889
12.8	-59.1688
12.9	-58.2494
13	-57.3519
13.1	-56.4676
13.2	-55.6041
13.3	-54.7515
13.4	-53.8749
13.5	-52.9165
13.6	-51.8758
13.7	-50.7434
13.8	-49.449
13.9	-47.7728
14	-45.2488
14.1	-41.216
14.2	-35.2413
14.3	-26.2352
14.4	-8.64782
14.5	24.9565
14.6	39.4169
14.7	34.1474
14.8	19.893
14.9	8.8783
15	-2.92356
15.1	-11.0833
15.2	-19.3265
15.3	-27.0682
15.4	-36.3148
15.5	-46.121
15.6	-54.3945
15.7	-59.6341
15.8	-62.734
15.9	-64.5121
16	-65.4993
16.1	-65.969
16.2	-66.1202
16.3	-66.0306
16.4	-65.7834
16.5	-65.4059
16.6	-64.9435
16.7	-64.4099
16.8	-63.8322
16.9	-63.2184
17	-62.5853
17.1	-61.9379
17.2	-61.2866
17.3	-60.6344
17.4	-59.9883
17.5	-59.3506
17.6	-58.7251
17.7	-58.1126
17.8	-57.5149
17.9	-56.9319
18	-56.3643
18.1	-55.8113
18.2	-55.2723
18.3	-54.7474
18.4	-54.2371
18.5	-53.7397
18.6	-53.2524
18.7	-52.7712
18.8	-52.2902
18.9	-51.7998
19	-51.2812
19.1	-50.6873
19.2	-49.8807
19.3	-48.5189
19.4	-45.9672
19.5	-41.3895
19.6	-34.7363
19.7	-25.2802
19.8	-7.50163
19.9	31.2228
