t	v
0	-65.0246
0.1	-65.0246
0.2	-65.0246
0.3	-65.0246
0.4	-65.0246
0.5	-65.0246
0.6	-65.0246
0.7	-65.0246
0.8	-65.0246
0.9	-65.0246
1	-65.0246
1.1	-65.0246
1.2	-65.0246
1.3	-65.0246
1.4	-65.0246
1.5	-65.0246
1.6	-65.0246
1.7	-65.0246
1.8	-65.0246
1.9	-65.0246
2	-65.0246
2.1	-65.0246
2.2	-65.0246
2.3	-65.0246
2.4	-65.0246
2.5	-65.0246
2.6	-65.0246
2.7	-65.0246
2.8	-65.0246
2.9	-65.0246
3	-65.0246
3.1	-65.0246
3.2	-65.0246
3.3	-65.0246
3.4	-65.0246
3.5	-65.0246
3.6	-65.0246
3.7	-65.0246
3.8	-65.0246
3.9	-65.0246
4	-65.0246
4.1	-65.0246
4.2	-65.0246
4.3	-65.0246
4.4	-65.0246
4.5	-65.0246
4.6	-65.0246
4.7	-65.0246
4.8	-65.0246
4.9	-65.0246
5	-65.0246
5.1	-65.0246
5.2	-65.0246
5.3	-65.0246
5.4	-65.0246
5.5	-65.0246
5.6	-65.0246
5.7	-65.0246
5.8	-65.0246
5.9	-65.0246
6	-65.0246
6.1	-65.0246
6.2	-65.0246
6.3	-65.0246
6.4	-65.0246
6.5	-65.0246
6.6	-65.0246
6.7	-65.0246
6.8	-65.0246
6.9	-65.0246
7	-65.0246
7.1	-65.0246
7.2	-65.0246
7.3	-65.0246
7.4	-65.0246
7.5	-65.0246
7.6	-65.0246
7.7	-65.0246
7.8	-65.0246
7.9	-65.0246
8	-65.0246
8.1	-65.0246
8.2	-64.7812
8.3	-64.1272
8.4	-63.1403
8.5	-61.8586
8.6	-60.343
8.7	-58.6438
8.8	-56.81
8.9	-54.8838
9	-52.9012
9.1	-50.8906
9.2	-48.8698
9.3	-46.8402
9.4	-44.771
9.5	-42.546
9.6	-39.7047
9.7	-34.1769
9.8	-20.0333
9.9	13.8837
10	63.6005
10.1	43.8139
10.2	52.9863
10.3	36.0554
10.4	38.566
10.5	25.9202
10.6	24.9482
10.7	15.1614
10.8	12.0603
10.9	3.88527
11	-0.659294
11.1	-7.85028
11.2	-13.281
11.3	-21.1379
11.4	-30.194
11.5	-42.573
11.6	-53.3887
11.7	-60.1692
11.8	-63.2135
11.9	-64.6167
12	-64.7942
12.1	-64.5185
12.2	-63.7724
12.3	-62.8659
12.4	-61.7344
12.5	-60.5349
12.6	-59.224
12.7	-57.8915
12.8	-56.512
12.9	-55.1382
13	-53.7546
13.1	-52.7022
13.2	-51.5002
13.3	-50.4002
13.4	-47.9158
13.5	-43.9325
13.6	-40.273
13.7	-37.183
13.8	-33.6021
13.9	-26.6645
14	-4.70351
14.1	60.9971
14.2	40.1088
14.3	40.2206
14.4	31.089
14.5	24.63
14.6	18.4572
14.7	11.3998
14.8	5.3713
14.9	-1.62691
15	-7.87776
15.1	-15.0141
15.2	-23.8166
15.3	-36.9328
15.4	-53.4766
15.5	-63.7588
15.6	-68.0024
15.7	-69.5435
15.8	-69.8555
15.9	-69.5538
16	-68.8848
16.1	-68.0092
16.2	-66.9892
16.3	-65.8923
16.4	-64.7426
16.5	-63.5758
16.6	-62.4044
16.7	-61.2487
16.8	-60.1155
16.9	-59.0162
17	-57.954
17.1	-56.9347
17.2	-56.1047
17.3	-55.276
17.4	-54.521
17.5	-53.7847
17.6	-53.1034
17.7	-52.4495
17.8	-51.8402
17.9	-51.2593
18	-50.732
18.1	-50.2614
18.2	-49.8453
18.3	-49.4746
18.4	-49.1478
18.5	-48.8577
18.6	-48.6022
18.7	-48.3762
18.8	-48.1774
18.9	-48.0021
19	-47.8482
19.1	-47.7127
19.2	-47.5938
19.3	-47.4892
19.4	-47.3972
19.5	-47.3158
19.6	-47.2435
19.7	-47.1783
19.8	-47.1181
19.9	-47.0601
