t	v
0	-65.0127
0.1	-65.0127
0.2	-65.0127
0.3	-65.0127
0.4	-65.0127
0.5	-65.0127
0.6	-65.0127
0.7	-65.0127
0.8	-65.0127
0.9	-65.0127
1	-65.0127
1.1	-65.0127
1.2	-65.0127
1.3	-65.0127
1.4	-65.0127
1.5	-65.0127
1.6	-65.0127
1.7	-65.0127
1.8	-65.0127
1.9	-65.0127
2	-65.0127
2.1	-65.0127
2.2	-65.0127
2.3	-65.0127
2.4	-65.0127
2.5	-65.0127
2.6	-65.0127
2.7	-65.0127
2.8	-65.0127
2.9	-65.0127
3	-65.0127
3.1	-65.0127
3.2	-65.0127
3.3	-65.0127
3.4	-65.0127
3.5	-65.0127
3.6	-65.0127
3.7	-65.0127
3.8	-65.0127
3.9	-65.0127
4	-65.0127
4.1	-65.0127
4.2	-65.0127
4.3	-65.0127
4.4	-65.0127
4.5	-65.0127
4.6	-65.0127
4.7	-65.0127
4.8	-65.0127
4.9	-65.0127
5	-65.0127
5.1	-65.0127
5.2	-65.0127
5.3	-65.0127
5.4	-65.0127
5.5	-65.0127
5.6	-65.0127
5.7	-65.0127
5.8	-65.0127
5.9	-65.0127
6	-65.0127
6.1	-65.0127
6.2	-65.0127
6.3	-65.0127
6.4	-65.0127
6.5	-65.0127
6.6	-65.0127
6.7	-65.0127
6.8	-65.0127
6.9	-65.0127
7	-65.0127
7.1	-65.0127
7.2	-65.0127
7.3	-65.0127
7.4	-65.0127
7.5	-65.0127
7.6	-65.0127
7.7	-65.0127
7.8	-65.0127
7.9	-65.0127
8	-65.0127
8.1	-65.0127
8.2	-64.8838
8.3	-64.5321
8.4	-63.9949
8.5	-63.2879
8.6	-62.4385
8.7	-61.4696
8.8	-60.4032
8.9	-59.2592
9	-58.0544
9.1	-56.8026
9.2	-55.5124
9.3	-54.1857
9.4	-52.8118
9.5	-51.3558
9.6	-49.7206
9.7	-47.5829
9.8	-43.5086
9.9	-32.4862
10	-5.02891
10.1	48.063
10.2	50.1963
10.3	50.2765
10.4	33.722
10.5	29.8566
10.6	13.7494
10.7	7.67763
10.8	-3.90704
10.9	-9.58128
11	-17.9046
11.1	-24.7311
11.2	-34.5064
11.3	-45.1746
11.4	-54.6836
11.5	-60.1394
11.6	-63.2305
11.7	-64.6897
11.8	-65.4259
11.9	-65.5488
12	-65.4143
12.1	-64.9854
12.2	-64.4315
12.3	-63.7132
12.4	-62.8973
12.5	-62.0105
12.6	-61.1089
12.7	-60.1851
12.8	-59.2731
12.9	-58.3623
13	-57.4716
13.1	-56.5942
13.2	-55.7371
13.3	-54.8924
13.4	-54.0279
13.5	-53.0979
13.6	-52.113
13.7	-51.0754
13.8	-49.9582
13.9	-48.6724
14	-46.971
14.1	-44.2889
14.2	-39.5511
14.3	-31.2202
14.4	-17.1004
14.5	9.09692
14.6	36.8056
14.7	37.313
14.8	26.5814
14.9	14.1017
15	2.31368
15.1	-7.35042
15.2	-15.6655
15.3	-23.5457
15.4	-32.0556
15.5	-41.6185
15.6	-50.7932
15.7	-57.3638
15.8	-61.2846
15.9	-63.6097
16	-64.8957
16.1	-65.5902
16.2	-65.8648
16.3	-65.891
16.4	-65.7153
16.5	-65.4123
16.6	-65.0003
16.7	-64.5201
16.8	-63.9822
16.9	-63.4106
17	-62.8118
17.1	-62.2004
17.2	-61.5804
17.3	-60.9624
17.4	-60.354
17.5	-59.769
17.6	-59.2096
17.7	-58.675
17.8	-58.1633
17.9	-57.6732
18	-57.203
18.1	-56.7517
18.2	-56.3177
18.3	-55.9002
18.4	-55.4987
18.5	-55.1139
18.6	-54.7456
18.7	-54.3929
18.8	-54.0547
18.9	-53.7299
19	-53.4174
19.1	-53.1162
19.2	-52.8252
19.3	-52.5432
19.4	-52.2693
19.5	-52.0021
19.6	-51.7405
19.7	-51.483
19.8	-51.2283
19.9	-50.9743
