t	v
0	-63.0102
0.1	-63.0102
0.2	-63.0102
0.3	-63.0102
0.4	-63.0102
0.5	-63.0102
0.6	-63.0102
0.7	-63.0102
0.8	-63.0102
0.9	-63.0102
1	-63.0102
1.1	-63.0102
1.2	-63.0102
1.3	-63.0102
1.4	-63.0102
1.5	-63.0102
1.6	-63.0102
1.7	-63.0102
1.8	-63.0102
1.9	-63.0102
2	-63.0102
2.1	-63.0102
2.2	-63.0102
2.3	-63.0102
2.4	-63.0102
2.5	-63.0102
2.6	-63.0102
2.7	-63.0102
2.8	-63.0102
2.9	-63.0102
3	-63.0102
3.1	-63.0102
3.2	-63.0102
3.3	-63.0102
3.4	-63.0102
3.5	-63.0102
3.6	-63.0102
3.7	-63.0102
3.8	-63.0102
3.9	-63.0102
4	-63.0102
4.1	-63.0102
4.2	-63.0102
4.3	-63.0102
4.4	-63.0102
4.5	-63.0102
4.6	-63.0102
4.7	-63.0102
4.8	-63.0102
4.9	-63.0102
5	-63.0102
5.1	-63.0102
5.2	-63.0102
5.3	-63.0102
5.4	-63.0102
5.5	-63.0102
5.6	-63.0102
5.7	-63.0102
5.8	-63.0102
5.9	-63.0102
6	-63.0102
6.1	-63.0102
6.2	-63.0102
6.3	-63.0102
6.4	-63.0102
6.5	-63.0102
6.6	-63.0102
6.7	-63.0102
6.8	-63.0102
6.9	-63.0102
7	-63.0102
7.1	-63.0102
7.2	-63.0102
7.3	-63.0102
7.4	-63.0102
7.5	-63.0102
7.6	-63.0102
7.7	-63.0102
7.8	-63.0102
7.9	-63.0102
8	-63.0102
8.1	-63.0102
8.2	-62.9525
8.3	-62.6991
8.4	-62.1539
8.5	-61.3103
8.6	-60.201
8.7	-58.8772
8.8	-57.395
8.9	-55.8078
9	-54.1622
9.1	-52.4964
9.2	-50.8382
9.3	-49.2024
9.4	-47.5848
9.5	-45.9463
9.6	-44.1862
9.7	-42.1101
9.8	-39.4156
9.9	-35.7222
10	-30.5285
10.1	-22.7584
10.2	-9.59459
10.3	16.4372
10.4	40.6822
10.5	42.0107
10.6	42.2413
10.7	40.0154
10.8	37.1122
10.9	33.3597
11	29.179
11.1	24.732
11.2	20.0027
11.3	15.168
11.4	10.2045
11.5	5.22378
11.6	0.231535
11.7	-4.64404
11.8	-9.34136
11.9	-13.8897
12	-18.285
12.1	-22.5496
12.2	-26.6013
12.3	-30.3939
12.4	-34.1982
12.5	-37.6344
12.6	-40.5
12.7	-42.7709
12.8	-44.5066
12.9	-45.8328
13	-46.8267
13.1	-47.9161
13.2	-48.8743
13.3	-49.75
13.4	-49.8901
13.5	-48.8142
13.6	-47.1985
13.7	-45.8774
13.8	-44.7115
13.9	-43.7845
14	-42.9949
14.1	-42.3845
14.2	-41.9203
14.3	-41.6114
14.4	-41.425
14.5	-41.3591
14.6	-41.3738
14.7	-41.4685
14.8	-41.6021
14.9	-41.78
15	-41.9654
15.1	-42.1696
15.2	-42.3625
15.3	-42.5591
15.4	-42.7363
15.5	-42.9104
15.6	-43.0636
15.7	-43.2118
15.8	-43.3409
15.9	-43.4655
16	-43.574
16.1	-43.6793
16.2	-43.7718
16.3	-43.8622
16.4	-43.9426
16.5	-44.0221
16.6	-44.0939
16.7	-44.1654
16.8	-44.2312
16.9	-44.2971
17	-44.3588
17.1	-44.4208
17.2	-44.4797
17.3	-44.734
17.4	-45.1566
17.5	-45.5711
17.6	-46.0706
17.7	-46.5411
17.8	-46.9748
17.9	-47.3456
18	-47.6632
18.1	-47.9296
18.2	-48.1555
18.3	-48.3466
18.4	-48.5117
18.5	-48.6555
18.6	-48.7837
18.7	-48.8987
18.8	-49.0042
18.9	-49.1011
19	-49.1923
19.1	-49.2776
19.2	-49.3596
19.3	-49.4373
19.4	-49.5133
19.5	-49.5861
19.6	-49.6582
19.7	-49.7277
19.8	-49.7972
19.9	-49.8645
