host	set up	created cells	connected cells	ran simulation	
0	0.32	336.29	53.1	355.32
1	0.33	336.29	53.1	359.04
2	0.29	336.29	53.1	354.83
3	0.31	336.29	53.1	360.88
4	0.35	336.29	53.1	360.15
5	0.3	336.29	53.11	359.78
6	0.33	336.29	53.11	360.74
7	0.35	336.29	53.1	362.67
