t	v
0	-59.9512
0.1	-59.9512
0.2	-59.9512
0.3	-59.9512
0.4	-59.9512
0.5	-59.9512
0.6	-59.9512
0.7	-59.9512
0.8	-59.9512
0.9	-59.9512
1	-59.9512
1.1	-59.9512
1.2	-59.9512
1.3	-59.9512
1.4	-59.9512
1.5	-59.9512
1.6	-59.9512
1.7	-59.9512
1.8	-59.9512
1.9	-59.9512
2	-59.9512
2.1	-59.9512
2.2	-59.9512
2.3	-59.9512
2.4	-59.9512
2.5	-59.9512
2.6	-59.9512
2.7	-59.9512
2.8	-59.9512
2.9	-59.9512
3	-59.9512
3.1	-59.9512
3.2	-59.9512
3.3	-59.9512
3.4	-59.9512
3.5	-59.9512
3.6	-59.9512
3.7	-59.9512
3.8	-59.9512
3.9	-59.9512
4	-59.9512
4.1	-59.9512
4.2	-59.9512
4.3	-59.9512
4.4	-59.9512
4.5	-59.9512
4.6	-59.9512
4.7	-59.9512
4.8	-59.9512
4.9	-59.9512
5	-59.9512
5.1	-59.9512
5.2	-59.9512
5.3	-59.9512
5.4	-59.9512
5.5	-59.9512
5.6	-59.9512
5.7	-59.9512
5.8	-59.9512
5.9	-59.9512
6	-59.9512
6.1	-59.9512
6.2	-59.9512
6.3	-59.9512
6.4	-59.9512
6.5	-59.9512
6.6	-59.9512
6.7	-59.9512
6.8	-59.9512
6.9	-59.9512
7	-59.9512
7.1	-59.9512
7.2	-59.9512
7.3	-59.9512
7.4	-59.9512
7.5	-59.9512
7.6	-59.9512
7.7	-59.9512
7.8	-59.9512
7.9	-59.9512
8	-59.9512
8.1	-59.9512
8.2	-59.6026
8.3	-58.8659
8.4	-57.8701
8.5	-56.6179
8.6	-55.1894
8.7	-53.6004
8.8	-51.906
8.9	-50.1227
9	-48.2895
9.1	-46.4202
9.2	-44.5423
9.3	-42.6662
9.4	-40.81
9.5	-38.979
9.6	-37.1812
9.7	-35.4106
9.8	-33.6549
9.9	-31.8771
10	-30.0075
10.1	-27.8965
10.2	-25.2002
10.3	-20.9251
10.4	-10.9332
10.5	29.2047
10.6	68.0575
10.7	37.7626
10.8	56.7703
10.9	28.8508
11	40.5163
11.1	15.152
11.2	21.8244
11.3	0.547818
11.4	-0.999781
11.5	-19.3092
11.6	-29.2442
11.7	-43.7028
11.8	-43.8097
11.9	-50.5312
12	-47.1829
12.1	-51.2684
12.2	-47.1659
12.3	-49.9943
12.4	-45.8641
12.5	-47.9681
12.6	-44.0376
12.7	-45.6594
12.8	-41.9978
12.9	-43.2549
13	-39.8695
13.1	-40.8521
13.2	-37.7448
13.3	-38.5148
13.4	-35.6571
13.5	-36.2219
13.6	-33.5889
13.7	-34.0102
13.8	-31.6078
13.9	-31.909
14	-29.7241
14.1	-29.9975
14.2	-28.1631
14.3	-28.3849
14.4	-26.7368
14.5	-26.8098
14.6	-25.2572
14.7	-25.1054
14.8	-23.5459
14.9	-23.0487
15	-21.2913
15.1	-20.1512
15.2	-17.6586
15.3	-14.8306
15.4	-9.32715
15.5	0.461213
15.6	18.157
15.7	28.0972
15.8	22.8291
15.9	14.8341
16	4.77321
16.1	-4.83798
16.2	-15.6437
16.3	-25.8364
16.4	-33.7827
16.5	-38.593
16.6	-41.7296
16.7	-43.5089
16.8	-44.6724
16.9	-45.2034
17	-45.4683
17.1	-45.3985
17.2	-45.1977
17.3	-44.8121
17.4	-44.4096
17.5	-43.9459
17.6	-43.4484
17.7	-42.9138
17.8	-42.3506
17.9	-41.7758
18	-41.1785
18.1	-40.5889
18.2	-39.9815
18.3	-39.3958
18.4	-38.7973
18.5	-38.233
18.6	-37.6616
18.7	-37.1308
18.8	-36.5921
18.9	-36.0949
19	-35.5889
19.1	-35.1239
19.2	-34.6492
19.3	-34.2137
19.4	-33.7675
19.5	-33.3582
19.6	-32.9367
19.7	-32.5493
19.8	-32.1484
19.9	-31.7781
