0	0
0.5	1.81644e-05
1	1.81644e-05
1.5	1.81644e-05
2	1.81644e-05
2.5	1.81644e-05
3	1.81644e-05
3.5	1.81644e-05
4	1.81644e-05
4.5	1.81644e-05
5	1.81644e-05
5.5	1.81644e-05
6	1.81644e-05
6.5	1.81644e-05
7	1.81644e-05
7.5	1.81644e-05
8	1.81644e-05
8.5	-0.000201751
9	-0.000348552
9.5	-0.000383579
10	-0.000931353
10.5	0.00050249
11	0.00100523
11.5	0.000678026
12	0.000467925
12.5	0.00031053
13	2.57145e-05
13.5	-0.00203865
14	-0.00105814
14.5	-0.000927064
15	-0.00121717
15.5	-0.00132252
16	-0.00122345
16.5	-0.0013001
17	-0.00110557
17.5	-0.00102558
18	-0.000813671
18.5	-0.000865559
19	-0.000664994
19.5	-0.000697077
20	-0.00050703
