t	v
0	-70.6341
0.1	-70.6337
0.2	-70.6334
0.3	-70.6331
0.4	-70.6328
0.5	-70.6324
0.6	-70.6321
0.7	-70.6318
0.8	-70.6315
0.9	-70.6312
1	-70.6308
1.1	-70.6305
1.2	-70.6302
1.3	-70.6299
1.4	-70.6296
1.5	-70.6292
1.6	-70.6289
1.7	-70.6286
1.8	-70.6283
1.9	-70.628
2	-70.6276
2.1	-70.6273
2.2	-70.627
2.3	-70.6267
2.4	-70.6264
2.5	-70.626
2.6	-70.6257
2.7	-70.6254
2.8	-70.6251
2.9	-70.6248
3	-70.6245
3.1	-70.6242
3.2	-70.6238
3.3	-70.6235
3.4	-70.6232
3.5	-70.6229
3.6	-70.6226
3.7	-70.6223
3.8	-70.622
3.9	-70.6216
4	-70.6213
4.1	-70.621
4.2	-70.6207
4.3	-70.6204
4.4	-70.6201
4.5	-70.6198
4.6	-70.6195
4.7	-70.6192
4.8	-70.6188
4.9	-70.6185
5	-70.6182
5.1	-70.6179
5.2	-70.6176
5.3	-70.6173
5.4	-70.617
5.5	-70.6167
5.6	-70.6164
5.7	-70.6161
5.8	-70.6158
5.9	-70.6155
6	-70.6152
6.1	-70.6149
6.2	-70.6145
6.3	-70.6142
6.4	-70.6139
6.5	-70.6136
6.6	-70.6133
6.7	-70.613
6.8	-70.6127
6.9	-70.6124
7	-70.6121
7.1	-70.6118
7.2	-70.6115
7.3	-70.6112
7.4	-70.6109
7.5	-70.6106
7.6	-70.6103
7.7	-70.61
7.8	-70.6097
7.9	-70.6094
8	-70.6091
8.1	-70.6088
8.2	-70.0302
8.3	-68.2062
8.4	-65.2281
8.5	-61.3539
8.6	-56.8567
8.7	-51.9866
8.8	-46.8298
8.9	-41.1506
9	-33.8964
9.1	-22.0078
9.2	-0.00614921
9.3	20.0967
9.4	26.6452
9.5	28.2097
9.6	26.9477
9.7	24.6053
9.8	21.4696
9.9	18.1271
10	14.6366
10.1	11.2829
10.2	8.06336
10.3	5.11846
10.4	2.41598
10.5	0.0156985
10.6	-2.12724
10.7	-3.99571
10.8	-5.6349
10.9	-7.04732
11	-8.27225
11.1	-9.31956
11.2	-10.2209
11.3	-10.9873
11.4	-11.6435
11.5	-12.2001
11.6	-12.6751
11.7	-13.0777
11.8	-13.4214
11.9	-13.7135
12	-13.9638
12.1	-14.1779
12.2	-14.3632
12.3	-14.5239
12.4	-15.1191
12.5	-15.8855
12.6	-16.6522
12.7	-17.3836
12.8	-18.0182
12.9	-18.5674
13	-19.0135
13.1	-19.7742
13.2	-20.3832
13.3	-20.9631
13.4	-21.3795
13.5	-21.7264
13.6	-21.9495
13.7	-22.1187
13.8	-22.2049
13.9	-22.2526
14	-22.3197
14.1	-22.5345
14.2	-22.8596
14.3	-23.2218
14.4	-23.5548
14.5	-23.8387
14.6	-24.0546
14.7	-24.2063
14.8	-24.2938
14.9	-24.3269
15	-24.3108
15.1	-24.2553
15.2	-24.1661
15.3	-24.0515
15.4	-23.9165
15.5	-23.7676
15.6	-23.6086
15.7	-23.4442
15.8	-23.2773
15.9	-23.1112
16	-22.948
16.1	-22.7902
16.2	-22.6392
16.3	-22.4962
16.4	-22.3619
16.5	-22.237
16.6	-22.1219
16.7	-22.0168
16.8	-21.9217
16.9	-21.8366
17	-21.7612
17.1	-21.695
17.2	-21.6377
17.3	-21.8102
17.4	-22.312
17.5	-23.0299
17.6	-23.8523
17.7	-24.6739
17.8	-25.451
17.9	-26.1478
18	-26.7586
18.1	-27.2773
18.2	-27.7104
18.3	-28.0617
18.4	-28.3427
18.5	-28.5615
18.6	-28.7254
18.7	-28.8392
18.8	-28.9088
18.9	-28.9382
19	-28.9324
19.1	-28.8945
19.2	-28.8283
19.3	-28.7365
19.4	-28.6219
19.5	-28.487
19.6	-28.334
19.7	-28.1651
19.8	-27.9824
19.9	-27.7878
