t	v
0	-63.0102
0.1	-63.0102
0.2	-63.0102
0.3	-63.0102
0.4	-63.0102
0.5	-63.0102
0.6	-63.0102
0.7	-63.0102
0.8	-63.0102
0.9	-63.0102
1	-63.0102
1.1	-63.0102
1.2	-63.0102
1.3	-63.0102
1.4	-63.0102
1.5	-63.0102
1.6	-63.0102
1.7	-63.0102
1.8	-63.0102
1.9	-63.0102
2	-63.0102
2.1	-63.0102
2.2	-63.0102
2.3	-63.0102
2.4	-63.0102
2.5	-63.0102
2.6	-63.0102
2.7	-63.0102
2.8	-63.0102
2.9	-63.0102
3	-63.0102
3.1	-63.0102
3.2	-63.0102
3.3	-63.0102
3.4	-63.0102
3.5	-63.0102
3.6	-63.0102
3.7	-63.0102
3.8	-63.0102
3.9	-63.0102
4	-63.0102
4.1	-63.0102
4.2	-63.0102
4.3	-63.0102
4.4	-63.0102
4.5	-63.0102
4.6	-63.0102
4.7	-63.0102
4.8	-63.0102
4.9	-63.0102
5	-63.0102
5.1	-63.0102
5.2	-63.0102
5.3	-63.0102
5.4	-63.0102
5.5	-63.0102
5.6	-63.0102
5.7	-63.0102
5.8	-63.0102
5.9	-63.0102
6	-63.0102
6.1	-63.0102
6.2	-63.0102
6.3	-63.0102
6.4	-63.0102
6.5	-63.0102
6.6	-63.0102
6.7	-63.0102
6.8	-63.0102
6.9	-63.0102
7	-63.0102
7.1	-63.0102
7.2	-63.0102
7.3	-63.0102
7.4	-63.0102
7.5	-63.0102
7.6	-63.0102
7.7	-63.0102
7.8	-63.0102
7.9	-63.0102
8	-63.0102
8.1	-63.0102
8.2	-62.9474
8.3	-62.6861
8.4	-62.1436
8.5	-61.3168
8.6	-60.2366
8.7	-58.9519
8.8	-57.5154
8.9	-55.9777
9	-54.3826
9.1	-52.7651
9.2	-51.1477
9.3	-49.5351
9.4	-47.9018
9.5	-46.1738
9.6	-44.212
9.7	-41.8013
9.8	-38.6537
9.9	-34.4348
10	-28.6762
10.1	-20.1646
10.2	-5.02502
10.3	24.3347
10.4	41.0893
10.5	42.4929
10.6	41.2845
10.7	39.4502
10.8	35.8897
10.9	32.3056
11	27.8198
11.1	23.4594
11.2	18.568
11.3	13.7963
11.4	8.74155
11.5	3.81692
11.6	-1.22558
11.7	-6.01309
11.8	-10.7177
11.9	-15.1971
12	-19.603
12.1	-23.801
12.2	-27.8296
12.3	-31.5118
12.4	-35.2567
12.5	-38.5432
12.6	-41.278
12.7	-43.3843
12.8	-45.0145
12.9	-46.2162
13	-47.1405
13.1	-48.0806
13.2	-48.8279
13.3	-49.4497
13.4	-48.9202
13.5	-46.4202
13.6	-43.7473
13.7	-41.9841
13.8	-40.4789
13.9	-39.3756
14	-38.5808
14.1	-37.9929
14.2	-37.6415
14.3	-37.4161
14.4	-37.341
14.5	-37.3355
14.6	-37.413
14.7	-37.5261
14.8	-37.6796
14.9	-37.8476
15	-38.0319
15.1	-38.2179
15.2	-38.4078
15.3	-38.5925
15.4	-38.7757
15.5	-38.9504
15.6	-39.1221
15.7	-39.2842
15.8	-39.4438
15.9	-39.5938
16	-39.7426
16.1	-39.8823
16.2	-40.0223
16.3	-40.154
16.4	-40.2871
16.5	-40.4129
16.6	-40.5412
16.7	-40.6629
16.8	-40.7879
16.9	-40.9069
17	-41.0299
17.1	-41.1475
17.2	-41.2694
17.3	-41.4698
17.4	-41.9925
17.5	-42.5065
17.6	-43.058
17.7	-43.5421
17.8	-44.0097
17.9	-44.4075
18	-44.7837
18.1	-45.1021
18.2	-45.4052
18.3	-45.6634
18.4	-45.9137
18.5	-46.13
18.6	-46.3445
18.7	-46.5324
18.8	-46.7223
18.9	-46.8908
19	-47.0635
19.1	-47.2184
19.2	-47.3789
19.3	-47.5242
19.4	-47.6759
19.5	-47.8141
19.6	-47.9592
19.7	-48.0921
19.8	-48.2322
19.9	-48.361
