t	v
0	-70.6341
0.1	-70.6337
0.2	-70.6334
0.3	-70.6331
0.4	-70.6328
0.5	-70.6324
0.6	-70.6321
0.7	-70.6318
0.8	-70.6315
0.9	-70.6312
1	-70.6308
1.1	-70.6305
1.2	-70.6302
1.3	-70.6299
1.4	-70.6296
1.5	-70.6292
1.6	-70.6289
1.7	-70.6286
1.8	-70.6283
1.9	-70.628
2	-70.6276
2.1	-70.6273
2.2	-70.627
2.3	-70.6267
2.4	-70.6264
2.5	-70.626
2.6	-70.6257
2.7	-70.6254
2.8	-70.6251
2.9	-70.6248
3	-70.6245
3.1	-70.6242
3.2	-70.6238
3.3	-70.6235
3.4	-70.6232
3.5	-70.6229
3.6	-70.6226
3.7	-70.6223
3.8	-70.622
3.9	-70.6216
4	-70.6213
4.1	-70.621
4.2	-70.6207
4.3	-70.6204
4.4	-70.6201
4.5	-70.6198
4.6	-70.6195
4.7	-70.6192
4.8	-70.6188
4.9	-70.6185
5	-70.6182
5.1	-70.6179
5.2	-70.6176
5.3	-70.6173
5.4	-70.617
5.5	-70.6167
5.6	-70.6164
5.7	-70.6161
5.8	-70.6158
5.9	-70.6155
6	-70.6152
6.1	-70.6149
6.2	-70.6145
6.3	-70.6142
6.4	-70.6139
6.5	-70.6136
6.6	-70.6133
6.7	-70.613
6.8	-70.6127
6.9	-70.6124
7	-70.6121
7.1	-70.6118
7.2	-70.6115
7.3	-70.6112
7.4	-70.6109
7.5	-70.6106
7.6	-70.6103
7.7	-70.61
7.8	-70.6097
7.9	-70.6094
8	-70.6091
8.1	-70.6088
8.2	-69.8833
8.3	-67.744
8.4	-64.4213
8.5	-60.1879
8.6	-55.3531
8.7	-50.1803
8.8	-44.7304
8.9	-38.5758
9	-30.024
9.1	-14.6304
9.2	10.2401
9.3	23.2681
9.4	27.42
9.5	27.0863
9.6	25.3597
9.7	22.4163
9.8	19.2832
9.9	15.8144
10	12.5324
10.1	9.28757
10.2	6.36664
10.3	3.63649
10.4	1.24963
10.5	-0.908212
10.6	-2.76076
10.7	-4.40119
10.8	-5.794
10.9	-7.01133
11	-8.03831
11.1	-8.929
11.2	-9.67829
11.3	-10.3256
11.4	-10.8702
11.5	-11.3404
11.6	-11.7375
11.7	-12.0814
11.8	-12.374
11.9	-12.6293
12	-12.8491
12.1	-13.0432
12.2	-13.2132
12.3	-13.3658
12.4	-13.998
12.5	-14.7785
12.6	-15.5602
12.7	-16.2885
12.8	-16.9182
12.9	-17.4542
13	-17.8885
13.1	-18.6448
13.2	-19.2452
13.3	-19.813
13.4	-20.2147
13.5	-20.5474
13.6	-20.7592
13.7	-20.9214
13.8	-21.0046
13.9	-21.0543
14	-21.1437
14.1	-21.4472
14.2	-21.8975
14.3	-22.3636
14.4	-22.7789
14.5	-23.1185
14.6	-23.3701
14.7	-23.542
14.8	-23.6387
14.9	-23.6744
15	-23.6567
15.1	-23.5984
15.2	-23.5062
15.3	-23.3899
15.4	-23.2547
15.5	-23.1077
15.6	-22.9525
15.7	-22.7942
15.8	-22.6355
15.9	-22.4794
16	-22.3274
16.1	-22.1815
16.2	-22.0428
16.3	-21.9125
16.4	-21.7911
16.5	-21.6791
16.6	-21.5765
16.7	-21.4832
16.8	-21.399
16.9	-21.3238
17	-21.2572
17.1	-21.1988
17.2	-21.149
17.3	-21.3364
17.4	-21.9279
17.5	-22.7814
17.6	-23.709
17.7	-24.6112
17.8	-25.4342
17.9	-26.1517
18	-26.7618
18.1	-27.2642
18.2	-27.6712
18.3	-27.989
18.4	-28.2341
18.5	-28.4154
18.6	-28.5431
18.7	-28.6215
18.8	-28.6588
18.9	-28.6585
19	-28.6266
19.1	-28.5659
19.2	-28.4809
19.3	-28.3738
19.4	-28.2482
19.5	-28.106
19.6	-27.9498
19.7	-27.7819
19.8	-27.6047
19.9	-27.4199
